STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
41,Bài tập thể dục nhịp điệu,Treatment,C0001701,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Cả bài tập thể dục nhịp điệu và bài tập sức đề kháng đều đã được chứng minh là cải thiện việc kiểm soát đường huyết ở bệnh tiểu đường loại 2,01_daithaoduong.txt
42,Béo phì,RiskFactor,C0028754,,Làm tăng nguy cơ mắc,Hen suyễn,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
43,Béo phì,RiskFactor,C0028754,,Làm tăng nguy cơ mắc,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,"Hầu hết trẻ em mắc bệnh tiểu đường loại 2 đều bị béo phì, vì vậy việc điều chỉnh lối sống là nền tảng của liệu pháp điều trị.",01_daithaoduong.txt
44,Bóng khí > 1 cm,Measurement,Chưa có,Thông số: Khoảng thấu quang bóng khí; Giá trị: >> 1 cm,Xác định ngưỡng chẩn đoán cho,Khí phế thũng,DiseaseSubtype,C0034067,,"bóng khí (tức là, khoảng thấu quang > 1 cm bao quanh bởi đường cong, viền mỏng)",01_copd.txt
45,Bơm insulin,Treatment,C3504188,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Trẻ em với đái tháo đường loại 1 đòi hỏi bổ sung thay thế insulin sinh lí như người lớn, và phác đồ điều trị tương tự, gồm bơm insulin.",01_daithaoduong.txt
46,Bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Hạ đường huyết,DiseaseSubtype,C0020615,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
47,Bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Tăng đường huyết,DiseaseSubtype,C0020456,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
48,Bạch cầu trung tính,Mechanism,C0027950,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Tổn thương oxy hóa do bạch cầu trung tính gây ra, giải phóng các peptide thần kinh chức năng (ví dụ: bomesin) và giảm mức độ yếu tố tăng trưởng nội mô mạch máu (VEGF) có thể góp phần phá hủy nhu mô phổi theo chương trình.",01_copd.txt
49,Bạch cầu ái toan,Mechanism,C0014467,,Là một phần của cơ chế,Đáp ứng miễn dịch T2,Mechanism,Chưa có,,Đáp ứng T2 tiền viêm được đặc trưng bởi sự tăng trưởng và kích hoạt quá trình sản sinh bạch cầu ái toan và IgE.,henphequan.txt
50,Bảng xét nghiệm chuyển hóa đầy đủ,Test,C0519825,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,"bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi)",01_tanghuyetap.txt
51,Bảng xét nghiệm lipid,Test,C0200382,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,"Bảng xét nghiệm lipid, bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi), glucose huyết tương lúc đói",01_tanghuyetap.txt
52,Bệnh Addison,Cause,C0001403,,Là nguyên nhân gây ra,Đái tháo đường không ổn định,DiseaseSubtype,C0342302,,"Nguyên nhân khác khiến nồng độ glucose trong huyết tương không ổn định gồm nhiễm trùng, liệt dạ dày (dẫn tới rối loạn hấp thu carbonhydrate) và bệnh nội tiết (ví dụ, bệnh Addison).",01_daithaoduong.txt
53,Bệnh cơ tim giãn,DiseaseSubtype,C0007193,,Dẫn đến biến chứng,Suy tim,Complication,C0018801,,gây ra bệnh cơ tim giãn và suy tim,01_tanghuyetap.txt
54,Bệnh huyết sắc tố,Cause,C0019045,,Gây tổn thương cơ quan,Tuyến tụy,Organ,C0030274,,"Các tình trạng ảnh hưởng đến tuyến tụy (ví dụ: bệnh xơ nang, viêm tụy, bệnh huyết sắc tố, cắt bỏ toàn thân)",01_daithaoduong.txt
55,Bệnh lý tim mạch,Complication,C0007222,,Dẫn đến biến chứng,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
56,Bệnh lý tim mạch,Complication,C0007222,,Dẫn đến biến chứng,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
57,Bệnh mạch thận,Cause,C0020545,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
58,Bệnh nhu mô thận,Cause,C1841992,,Gây tổn thương cơ quan,Thận,Organ,C0022646,,"Nếu thận không sản sinh đủ lượng thuốc giãn mạch (do bệnh nhu mô thận), huyết áp có thể tăng.",01_tanghuyetap.txt
59,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Nguyên nhân thứ phát gây tăng huyết áp,Cause,C0155616,,"chỉ có 5% đến 15% là thứ phát do một bệnh lý khác (ví dụ: cường aldosteron nguyên phát, bệnh nhu mô thận).",01_tanghuyetap.txt
60,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
61,Bệnh nhu mô thận,Cause,C1841992,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"chỉ có 5% đến 15% là thứ phát do một bệnh lý khác (ví dụ: cường aldosteron nguyên phát, bệnh nhu mô thận).",01_tanghuyetap.txt
62,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
63,Bệnh não do tăng huyết áp,Disease,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
64,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù gai thị,Complication,C0030353,,"gây phù não, bao gồm cả phù gai thị.",02_thuocdieutri.txt
65,Bệnh não tăng huyết áp,Complication,C0151620,,Dẫn đến biến chứng,Phù não,Complication,C0006114,,"Kết quả là máu với áp suất rất cao được đẩy trực tiếp vào mao mạch khiến huyết tương rò rỉ vào trong não, gây phù não",02_thuocdieutri.txt
66,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Có triệu chứng cơ năng,Ho đờm,Symptom,C0239134,,Triệu chứng là ho đờm và khó thở phát triển qua nhiều năm,01_copd.txt
67,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Có triệu chứng cơ năng,Đau đầu buổi sáng,Symptom,C0581880,,Đau đầu buổi sáng phát triển trong các chứng bệnh nặng hơn,01_copd.txt
68,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Làm tăng nguy cơ mắc,Hen suyễn,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
69,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Biến chứng,Complication,C0009566,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
70,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Biến chứng COPD,Complication,Chưa có,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
71,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Bệnh tim,Disease,C0018799,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
72,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Loãng xương,Complication,C0029456,,Các rối loạn cùng tồn tại hoặc phức tạp khác ảnh hưởng xấu đến chất lượng cuộc sống và/hoặc thời gian sống thêm bao gồm loãng xương,01_copd.txt
73,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
74,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp,Complication,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
75,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp tính,Disease,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
76,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy tim phải,Complication,C0235527,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
77,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Thiếu oxy máu,Complication,C0700292,,Công việc thở nhiều hơn có thể dẫn đến giảm thông khí phế nang với tình trạng thiếu oxy,01_copd.txt
78,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Thuyên tắc mạch phổi,Disease,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
79,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi,Disease,C0032326,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi",01_copd.txt
80,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi tự phát,Complication,C0149781,,Có thể xảy ra tràn khí màng phổi tự phát (có thể liên quan đến vỡ kén khí) và nên nghi ngờ ở bất cứ bệnh nhân nào bị COPD có tình trạng phổi đột ngột nặng lên.,01_copd.txt
81,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tâm phế mạn,Complication,C0238074,,"Các dấu hiệu của bệnh tâm phế bao gồm giãn tĩnh mạch cổ, tiếng tim thứ hai tách đôi với phần tiếng van động mạch phổi nổi bật, tiếng thổi do suy van ba lá và phù ngoại biên.",01_copd.txt
82,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tắc mạch phổi,Complication,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
83,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Ung thư phổi,Disease,C0684249,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
84,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Viêm phổi,Complication,C0032285,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
85,Bệnh sarcoid,Disease,C0036202,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
86,Bệnh sarcoid,Disease,C0036202,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
87,Bệnh thận,Disease,C0022658,,Làm tăng nguy cơ mắc,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
88,Bệnh thận,Disease,C0022658,,Làm tăng nguy cơ mắc,Xơ vữa động mạch,Mechanism,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
89,Bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,Nguyên nhân thứ phát gây tăng huyết áp,Cause,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
90,Bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,Tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
