STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
11,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Có triệu chứng cơ năng,Đau đầu buổi sáng,Symptom,C0581880,,Đau đầu buổi sáng phát triển trong các chứng bệnh nặng hơn,01_copd.txt
12,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Biến chứng,Complication,C0009566,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
13,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Biến chứng COPD,Complication,Chưa có,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
14,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Bệnh tim,Disease,C0018799,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
15,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Loãng xương,Complication,C0029456,,Các rối loạn cùng tồn tại hoặc phức tạp khác ảnh hưởng xấu đến chất lượng cuộc sống và/hoặc thời gian sống thêm bao gồm loãng xương,01_copd.txt
16,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
17,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp,Complication,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
18,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp tính,Disease,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
19,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Suy tim phải,Complication,C0235527,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
20,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Thiếu oxy máu,Complication,C0700292,,Công việc thở nhiều hơn có thể dẫn đến giảm thông khí phế nang với tình trạng thiếu oxy,01_copd.txt
21,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Thuyên tắc mạch phổi,Disease,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
22,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi,Disease,C0032326,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi",01_copd.txt
23,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi tự phát,Complication,C0149781,,Có thể xảy ra tràn khí màng phổi tự phát (có thể liên quan đến vỡ kén khí) và nên nghi ngờ ở bất cứ bệnh nhân nào bị COPD có tình trạng phổi đột ngột nặng lên.,01_copd.txt
24,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tâm phế mạn,Complication,C0238074,,"Các dấu hiệu của bệnh tâm phế bao gồm giãn tĩnh mạch cổ, tiếng tim thứ hai tách đôi với phần tiếng van động mạch phổi nổi bật, tiếng thổi do suy van ba lá và phù ngoại biên.",01_copd.txt
25,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Tắc mạch phổi,Complication,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
26,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Ung thư phổi,Disease,C0684249,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
27,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Dẫn đến biến chứng,Viêm phổi,Complication,C0032285,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
28,Bệnh sarcoid,Disease,C0036202,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
29,Bệnh sarcoid,Disease,C0036202,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
30,Bệnh tim mạch,Disease,C0007222,,Dẫn đến biến chứng,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
31,Bệnh tim mạch,Disease,C0007222,,Dẫn đến biến chứng,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tỷ lệ tử vong trong COPD có thể do các bệnh đi kèm (ví dụ: bệnh tim mạch, ung thư)",01_copd.txt
32,Bệnh u cơ trơn mạch bạch huyết,Disease,C0751674,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
33,Bệnh u cơ trơn mạch bạch huyết,Disease,C0751674,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
34,Bụi nghề nghiệp,RiskFactor,C2919137,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
35,Bụi nghề nghiệp,RiskFactor,C2919137,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
36,COVID-19,Disease,C5203670,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Đại dịch COVID-19 gây nguy cơ đặc biệt cho bệnh nhân mắc COPD.,01_copd.txt
37,COVID-19,Disease,C5203670,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Đại dịch COVID-19 gây nguy cơ đặc biệt cho bệnh nhân mắc COPD.,01_copd.txt
38,CT ngực,Test,C0202823,,Dùng để chẩn đoán,Bệnh bụi phổi,Disease,C0032273,,"CT ngực có thể tiết lộ những bất thường không rõ ràng trên phim X quang ngực và cũng có thể gợi ý các rối loạn kèm theo hoặc các rối loạn gây biến chứng, chẳng hạn như viêm phổi, bệnh bụi phổi",01_copd.txt
39,CT ngực,Test,C0202823,,Dùng để chẩn đoán,Ung thư phổi,Disease,C0684249,,"CT ngực có thể tiết lộ những bất thường không rõ ràng trên phim X quang ngực và cũng có thể gợi ý các rối loạn kèm theo hoặc các rối loạn gây biến chứng, chẳng hạn như viêm phổi, bệnh bụi phổi hoặc ung thư phổi.",01_copd.txt
40,Cadmium,RiskFactor,C0006632,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD,01_copd.txt
41,Cadmium,RiskFactor,C0006632,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD,01_copd.txt
42,Cai thuốc lá,Treatment,C0085134,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Khuyến khích cai thuốc lá bằng sử dụng nhiều biện pháp can thiệp.,01_copd.txt
43,Cai thuốc lá,Treatment,C0085134,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Khuyến khích cai thuốc lá bằng sử dụng nhiều biện pháp can thiệp.,01_copd.txt
44,Chẩn đoán hình ảnh ngực,Test,C0412738,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
45,Chẩn đoán hình ảnh ngực,Test,C0412738,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
46,Chỉ số BODE,Test,C4053940,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Dự đoán chính xác hơn về nguy cơ tử vong có thể bằng cách đồng thời đo chỉ số khối cơ thể (B), mức độ tắc nghẽn đường thở (O, đó là FEV1), khó thở (D, được đo bằng cách sử dụng thang điểm của Hội đồng Nghiên cứu Y khoa Anh Quốc sửa đổi (mMRC)), và khả năng gắng sức (E, được đo bằng nghiệm pháp đi bộ 6 phút); đây là chỉ số BODE.",01_copd.txt
47,Chỉ số BODE,Test,C4053940,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Dự đoán chính xác hơn về nguy cơ tử vong có thể bằng cách đồng thời đo chỉ số khối cơ thể (B), mức độ tắc nghẽn đường thở (O, đó là FEV1), khó thở (D, được đo bằng cách sử dụng thang điểm của Hội đồng Nghiên cứu Y khoa Anh Quốc sửa đổi (mMRC)), và khả năng gắng sức (E, được đo bằng nghiệm pháp đi bộ 6 phút); đây là chỉ số BODE.",01_copd.txt
48,Chụp CT mạch ngực,Test,C2703057,,Dùng để chẩn đoán,Thuyên tắc mạch phổi,Disease,C0034065,,chụp CT mạch ngực được thực hiện để kiểm tra thuyên tắc mạch phổi.,01_copd.txt
49,Chụp CT mạch ngực,Test,C2703057,,Dùng để chẩn đoán,Tắc mạch phổi,Complication,C0034065,,chụp CT mạch ngực được thực hiện để kiểm tra thuyên tắc mạch phổi.,01_copd.txt
50,Co thắt phế quản,Mechanism,C0006266,,Là cơ chế sinh bệnh học của,Hẹp đường dẫn khí,Mechanism,C0001883,,"Hẹp đường dẫn khí và tắc nghẽn gây ra bởi đáp ứng viêm trung gian tăng tiết chất nhầy, nhầy niêm mạc, phù niêm mạc, co thắt phế quản, xơ dày thành đường thở, và tái cấu trúc các đường thở nhỏ hoặc các cơ chế này kết hợp nhau.",01_copd.txt
51,Co thắt phế quản,Mechanism,C0006266,,Là cơ chế sinh bệnh học của,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,"Hẹp đường dẫn khí và tắc nghẽn gây ra bởi đáp ứng viêm trung gian tăng tiết chất nhầy, nhầy niêm mạc, phù niêm mạc, co thắt phế quản, xơ dày thành đường thở, và tái cấu trúc các đường thở nhỏ hoặc các cơ chế này kết hợp nhau.",01_copd.txt
52,Corticosteroid,DrugClass,C0001617,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Tình trạng viêm mạn tính này dường như không đáp ứng với corticosteroid,01_copd.txt
53,Corticosteroid,DrugClass,C0001617,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Tình trạng viêm mạn tính này dường như không đáp ứng với corticosteroid,01_copd.txt
54,Corticosteroid dạng hít,DrugClass,C4020618,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,giảm các đợt cấp bằng corticosteroid dạng hít,01_copd.txt
55,Corticosteroid dạng hít,DrugClass,C4020618,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,giảm các đợt cấp bằng corticosteroid dạng hít,01_copd.txt
56,Corticosteroid dạng hít (ICS),DrugClass,C3540702,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,giảm đợt cấp bằng corticosteroid dạng hít,01_copd.txt
57,Corticosteroid dạng hít (ICS),DrugClass,C3540702,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,giảm đợt cấp bằng corticosteroid dạng hít,01_copd.txt
58,DLCO,Test,C1516251,,Dùng để chẩn đoán,Bệnh phổi kẽ,Disease,C0206062,,"DLCO giảm không đặc hiệu và giảm trong các rối loạn khác ảnh hưởng đến giường mạch phổi, chẳng hạn như bệnh phổi kẽ",01_copd.txt
59,DLCO,Test,C1516251,,Dùng để chẩn đoán,Hen suyễn,Disease,C0004096,,"DLCO giảm không đặc hiệu và giảm trong các rối loạn khác ảnh hưởng đến giường mạch phổi, chẳng hạn như bệnh phổi kẽ, nhưng có thể giúp phân biệt khí phế thũng với hen suyễn, trong đó DLCO bình thường hoặc tăng cao.",01_copd.txt
60,DLCO,Test,C1516251,,Dùng để chẩn đoán,Khí phế thũng,DiseaseSubtype,C0034067,,"DLCO giảm không đặc hiệu và giảm trong các rối loạn khác ảnh hưởng đến giường mạch phổi, chẳng hạn như bệnh phổi kẽ, nhưng có thể giúp phân biệt khí phế thũng với hen suyễn, trong đó DLCO bình thường hoặc tăng cao.",01_copd.txt
61,ECG,Test,C1623258,,Dùng để chẩn đoán,Phì đại thất phải,DiseaseSubtype,C0162770,,Dấu hiệu phì đại thất phải bao gồm sóng R hoặc R′ cao bằng hoặc cao hơn sóng S ở chuyển đạo V1; sóng R nhỏ hơn sóng S ở chuyển đạo V6; trục lệch phải > 110° không có blốc nhánh phải; hoặc phối hợp nào đó của những dấu hiệu này.,01_copd.txt
62,Elastase của bạch cầu trung tính,Mechanism,C0064833,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Các protease tại phổi, như elastase của bạch cầu trung tính, metalloproteinase của gian bào, và cathepsin, làm giảm elastin và mô liên kết trong quá trình sửa chữa mô thông thường.",01_copd.txt
63,FEV1,Test,C0849974,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Các xét nghiệm chẩn đoán chính là FEV1,01_copd.txt
64,FEV1,Test,C0849974,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Các xét nghiệm chẩn đoán chính là FEV1,01_copd.txt
65,FVC,Test,C3714541,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Các xét nghiệm chẩn đoán chính là FEV1: Thể tích thở ra gắng sức trong giây đầu tiên sau khi hít vào gắng sức Dung tích sống thở mạnh (FVC): Tổng lượng không khí đã thở ra với sự gắng sức lớn nhất.,01_copd.txt
66,FVC,Test,C3714541,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Các xét nghiệm chẩn đoán chính là FEV1: Thể tích thở ra gắng sức trong giây đầu tiên sau khi hít vào gắng sức Dung tích sống thở mạnh (FVC): Tổng lượng không khí đã thở ra với sự gắng sức lớn nhất.,01_copd.txt
67,"Giảm FEV1, FVC và tỷ lệ FEV1/FVC sau thuốc giãn phế quản",Measurement,Chưa có,Thông số: Chỉ số chức năng hô hấp sau thuốc giãn phế quản,Xác định ngưỡng chẩn đoán cho,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Giảm FEV1, FVC và tỷ lệ FEV1/FVC sau thuốc giãn phế quản là những dấu hiệu đặc trưng.",01_copd.txt
68,"Giảm FEV1, FVC và tỷ lệ FEV1/FVC sau thuốc giãn phế quản",Measurement,Chưa có,Thông số: Chỉ số chức năng hô hấp sau thuốc giãn phế quản,Xác định ngưỡng chẩn đoán cho,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Giảm FEV1, FVC và tỷ lệ FEV1/FVC sau thuốc giãn phế quản là những dấu hiệu đặc trưng.",01_copd.txt
69,Giảm cân không rõ nguyên nhân,RiskFactor,C2363736,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Bệnh nhân có nguy cơ tử vong cao là những bệnh nhân có giảm cân rõ rệt không rõ nguyên nhân,01_copd.txt
70,Giảm cân không rõ nguyên nhân,RiskFactor,C2363736,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Bệnh nhân có nguy cơ tử vong cao là những bệnh nhân có giảm cân rõ rệt không rõ nguyên nhân,01_copd.txt
71,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Có triệu chứng cơ năng,Ho đờm,Symptom,C0239134,,Triệu chứng là ho đờm và khó thở phát triển qua nhiều năm,01_copd.txt
72,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Có triệu chứng cơ năng,Đau đầu buổi sáng,Symptom,C0581880,,Đau đầu buổi sáng phát triển trong các chứng bệnh nặng hơn,01_copd.txt
73,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Biến chứng,Complication,C0009566,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
74,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Biến chứng COPD,Complication,Chưa có,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
75,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Bệnh tim,Disease,C0018799,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
76,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Loãng xương,Complication,C0029456,,Các rối loạn cùng tồn tại hoặc phức tạp khác ảnh hưởng xấu đến chất lượng cuộc sống và/hoặc thời gian sống thêm bao gồm loãng xương,01_copd.txt
77,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
78,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp,Complication,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
79,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp tính,Disease,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
80,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy tim phải,Complication,C0235527,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
81,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Thiếu oxy máu,Complication,C0700292,,Công việc thở nhiều hơn có thể dẫn đến giảm thông khí phế nang với tình trạng thiếu oxy,01_copd.txt
82,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Thuyên tắc mạch phổi,Disease,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
83,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi,Disease,C0032326,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi",01_copd.txt
84,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi tự phát,Complication,C0149781,,Có thể xảy ra tràn khí màng phổi tự phát (có thể liên quan đến vỡ kén khí) và nên nghi ngờ ở bất cứ bệnh nhân nào bị COPD có tình trạng phổi đột ngột nặng lên.,01_copd.txt
85,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tâm phế mạn,Complication,C0238074,,"Các dấu hiệu của bệnh tâm phế bao gồm giãn tĩnh mạch cổ, tiếng tim thứ hai tách đôi với phần tiếng van động mạch phổi nổi bật, tiếng thổi do suy van ba lá và phù ngoại biên.",01_copd.txt
86,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tắc mạch phổi,Complication,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
87,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Ung thư phổi,Disease,C0684249,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
88,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Viêm phổi,Complication,C0032285,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
89,Góc xương ức - màng phổi > 90°,Measurement,Chưa có,Thông số: Góc xương ức - màng phổi; Giá trị: >> 90 độ,Xác định ngưỡng chẩn đoán cho,Khí phế thũng,DiseaseSubtype,C0034067,,tăng góc được hình thành bởi xương ức và màng phổi phía trước trên phim chụp nghiêng từ giá trị bình thường là 45° đến > 90°,01_copd.txt
90,Haemophilus influenzae,Cause,C0018483,,Là nguyên nhân gây ra,Nhiễm trùng đường hô hấp,Disease,C0035243,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
91,Haemophilus influenzae,Cause,C0018483,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
92,Haemophilus influenzae,Cause,C0018483,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
