STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
31,Detemir,Drug,C0537270,,Điều trị,Tăng đường huyết,DiseaseSubtype,C0020456,,Hầu hết bệnh nhân nội trú có thể phù hợp điều trị với insulin nền kèm theo hoặc không bổ sung insulin tác dụng nhanh.,01_daithaoduong.txt
32,Dextrose,Drug,C0017725,rate: 75-150 mL/giờ,Điều trị,Đái tháo đường,Disease,C0011849,,Có thể bắt đầu truyền tĩnh mạch dung dịch dextrose trước khi phẫu thuật với tốc độ 75 đến 150 mL/giờ và được chuẩn độ để duy trì đường huyết bình thường.,01_daithaoduong.txt
33,Di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,việc sản sinh ra insulin không được thực hiện do tình trạng phá hủy tế bào beta tuyến tụy tự miễn dịch có thể do quá trình tiếp xúc với môi trường ở những người dễ mắc bệnh di truyền gây khởi phát.,01_daithaoduong.txt
34,Di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,"Có những yếu tố quyết định di truyền rõ ràng, bằng chứng là tỷ lệ hiện mắc cao ở người thân của người mắc bệnh.",01_daithaoduong.txt
35,Fructosamine,Test,C0060765,,Dùng để chẩn đoán,Đái tháo đường,Disease,C0011849,,Theo dõi Fructosamine có thể sủ dụng trong thời gian điều trị đái tháo đường tích cực,01_daithaoduong.txt
36,GLP-1 receptor agonist,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonist,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Thuốc chủ vận thụ thể peptide-1 giống glucagon (GLP1) là liệu pháp bước hai hiệu quả sau metformin và có thể hiệu quả hơn insulin hoặc như một liệu pháp bổ sung cho liệu pháp insulin trong bệnh tiểu đường loại 2.,01_daithaoduong.txt
37,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Bệnh gan nhiễm mỡ liên quan đến chuyển hóa,Disease,C0400966,,Thuốc chủ vận thụ thể GLP-1 và pioglitazone có thể được sử dụng ở những bệnh nhân mắc bệnh gan nhiễm mỡ liên quan đến chuyển hóa,01_daithaoduong.txt
38,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,"Ở những bệnh nhân mắc bệnh tim mạch do xơ vữa động mạch, thuốc ức chế kênh đồng vận natri/glucose 2 (SGLT2) hoặc thuốc chủ vận thụ thể GLP-1 có thể được khuyến nghị",01_daithaoduong.txt
39,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Type 2 diabetes mellitus,Measurement,Chưa có,Thông số: Chỉ số Type 2 diabetes mellitus,Thuốc chủ vận thụ thể peptide-1 giống glucagon (GLP1) là liệu pháp bước hai hiệu quả sau metformin và có thể hiệu quả hơn insulin hoặc như một liệu pháp bổ sung cho liệu pháp insulin trong bệnh tiểu đường loại 2.,01_daithaoduong.txt
40,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Viêm gan nhiễm mỡ liên quan đến chuyển hóa,Disease,C3241937,,Thuốc chủ vận thụ thể GLP-1 và pioglitazone có thể được sử dụng ở những bệnh nhân mắc bệnh gan nhiễm mỡ liên quan đến chuyển hóa (trước đây là bệnh gan nhiễm mỡ không do rượu) hoặc viêm gan nhiễm mỡ liên quan đến chuyển hóa (trước đây là viêm gan nhiễm mỡ không do rượu).,01_daithaoduong.txt
41,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Xơ vữa động mạch,Mechanism,C0004153,,"Ở những bệnh nhân mắc bệnh tim mạch do xơ vữa động mạch, thuốc ức chế kênh đồng vận natri/glucose 2 (SGLT2) hoặc thuốc chủ vận thụ thể GLP-1 có thể được khuyến nghị",01_daithaoduong.txt
42,GLP-1 receptor agonists,Measurement,Chưa có,Thông số: Chỉ số GLP-1 receptor agonists,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,Thuốc chủ vận thụ thể peptide-1 giống glucagon (GLP1) là liệu pháp bước hai hiệu quả sau metformin và có thể hiệu quả hơn insulin hoặc như một liệu pháp bổ sung cho liệu pháp insulin trong bệnh tiểu đường loại 2.,01_daithaoduong.txt
43,Ghép tế bào đảo tụy,Treatment,C5784667,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Ghép tụy và ghép tế bào đảo tụy là phương pháp thay thế cung cấp insulin (11, 12); cả hai kỹ thuật đều cấy ghép tế bào beta sản xuất insulin một cách hiệu quả vào những bệnh nhân bị thiếu insulin (bị bệnh tiểu đường loại 1).",01_daithaoduong.txt
44,Ghép tụy,Treatment,C0030275,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Ghép tụy và ghép tế bào đảo tụy là phương pháp thay thế cung cấp insulin (11, 12); cả hai kỹ thuật đều cấy ghép tế bào beta sản xuất insulin một cách hiệu quả vào những bệnh nhân bị thiếu insulin (bị bệnh tiểu đường loại 1).",01_daithaoduong.txt
45,Giám sát y tế chuyên sâu,Treatment,Chưa có,,Điều trị,Rối loạn ăn uống,Disease,C0013473,,Điều trị thường liên quan đến giám sát y tế chuyên sâu,01_daithaoduong.txt
46,Giáo dục bệnh nhân,Treatment,C0030688,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Cách tiếp cận này đòi hỏi phải giáo dục bệnh nhân chi tiết và thành công nhất khi được hướng dẫn bởi một chuyên gia dinh dưỡng có kinh nghiệm làm việc với bệnh nhân đái tháo đường.,01_daithaoduong.txt
47,Giáo dục bệnh nhân,Treatment,C0030688,,Điều trị,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,"Các yếu tố chính của điều trị cho tất cả bệnh nhân là giáo dục bệnh nhân, ăn kiêng, tập thể dục, giảm cân và theo dõi kiểm soát đường huyết.",01_daithaoduong.txt
48,Glucose,Mechanism,C0017725,,Điều trị,Đái tháo đường,Disease,C0011849,,Có thể bắt đầu truyền tĩnh mạch dung dịch dextrose trước khi phẫu thuật với tốc độ 75 đến 150 mL/giờ và được chuẩn độ để duy trì đường huyết bình thường.,01_daithaoduong.txt
49,Glucose huyết tương duy trì mục tiêu nội trú: 100 - 200 mg/dL (5.5 - 11.1 mmol/L),Measurement,Chưa có,Thông số: Glucose huyết tương duy trì mục tiêu nội trú; min: 100; max: 200; range_mg_dL: 100-200; range_mmol_L: 5.5-11.1; min_value: 100; max_value: 200,Xác định ngưỡng chẩn đoán cho,Đái tháo đường,Disease,C0011849,,"duy trì glucose huyết tương giữa 100 và 200 mg/dL (5,5 và 11,1 mmol/L) cho tới khi bệnh nhân có thể chuyển ăn đường miệng",01_daithaoduong.txt
50,Glucose huyết tương lúc đói,Test,C0583513,,Dùng để chẩn đoán,Đái tháo đường,Disease,C0011849,,sàng lọc bệnh tiểu đường với mức FPG,01_daithaoduong.txt
51,Glucose huyết tương ngẫu nhiên chẩn đoán ĐTĐ: >= 200 mg/dL (11.1 mmol/L),Measurement,Chưa có,Thông số: Glucose huyết tương ngẫu nhiên chẩn đoán ĐTĐ; value_mg_dl: 200; value_mmol_l: 11.1,Xác định ngưỡng chẩn đoán cho,Đái tháo đường,Disease,C0011849,,"Glucose ngẫu nhiên > 200 mg/dL (> 11,1 mmol/L) có thể chẩn đoán",01_daithaoduong.txt
52,Gluten và ngũ cốc,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Tiếp xúc sớm (< 4 tháng) hoặc muộn (> 7 tháng) với gluten và ngũ cốc tăng sản xuất tự kháng thể đảo tụy.,01_daithaoduong.txt
53,"HLA-DR3,DQB1*0201",Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
54,"HLA-DR4,DQB1*0302",Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
55,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường,Disease,C0011849,,"Những người >= 35 tuổi và tất cả người lớn có các yếu tố nguy cơ bổ sung được mô tả ở trên nên được sàng lọc bệnh tiểu đường với mức FPG, HbA1C hoặc giá trị 2 giờ khi OGTT 75 g ít nhất 3 năm một lần miễn là glucose huyết tương các chỉ số đo là bình thường và ít nhất là hàng năm nếu kết quả cho thấy nồng độ đường huyết lúc đói bị suy giảm .",01_daithaoduong.txt
56,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1,01_daithaoduong.txt
57,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1 và ít nhất 2 lần mỗi năm ở bệnh nhân đái tháo đường loại 2,01_daithaoduong.txt
58,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Đo lường chỉ số,Chỉ số nồng độ đường trong máu (Glucose máu),Measurement,Chưa có,Thông số: Chỉ số Chỉ số nồng độ đường trong máu (Glucose máu),"Tuy nhiên, HbA1C là một biện pháp gián tiếp của lượng đường trong máu",01_daithaoduong.txt
59,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Đo lường chỉ số,Tần suất theo dõi HbA1c định kỳ: 3 tháng một lần,Measurement,Chưa có,Thông số: Tần suất theo dõi HbA1c; frequency: 6,Nồng độ HbA1C đo được trong huyết tương tĩnh mạch được theo dõi 3 tháng một lần,01_daithaoduong.txt
60,HbA1c mục tiêu kiểm soát chặt chẽ: < 6.5%,Measurement,Chưa có,Thông số: HbA1c mục tiêu; Giá trị: <6.5 %,Xác định ngưỡng chẩn đoán cho,Hạ đường huyết,DiseaseSubtype,C0020615,,"Các bác sĩ lâm sàng cũng có thể đề nghị các mục tiêu đường huyết chặt chẽ hơn (ví dụ: HbA1C < 6,5%) ở một số bệnh nhân được chọn nếu những mục tiêu này có thể đạt được mà không bị hạ đường huyết.",01_daithaoduong.txt
61,Hydrogel uống,Treatment,C4288711,,Điều trị,Tiền đái tháo đường,Disease,C0362046,,Một loại hydrogel uống có chứa cellulose và axit xitric khiến bệnh nhân cảm thấy no và ăn ít hơn có thể giúp giảm cân ở mức độ khiêm tốn ở những bệnh nhân tiền tiểu đường và tiểu đường.,01_daithaoduong.txt
62,Hydrogel uống,Treatment,C4288711,,Điều trị,Đái tháo đường,Disease,C0011849,,Một loại hydrogel uống có chứa cellulose và axit xitric khiến bệnh nhân cảm thấy no và ăn ít hơn có thể giúp giảm cân ở mức độ khiêm tốn ở những bệnh nhân tiền tiểu đường và tiểu đường.,01_daithaoduong.txt
63,Hạ đường huyết,DiseaseSubtype,C0020615,,Có triệu chứng cơ năng,Triệu chứng hạ đường huyết,Symptom,Chưa có,,"Bệnh nhân bị hạ đường huyết lặp đi lặp lại, đặc biệt là những người không xuất hiện các triệu chứng hạ đường huyết",01_daithaoduong.txt
64,Hệ thống phân phối insulin tự động,Treatment,C0336563,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Chúng đặc biệt hữu ích ở những bệnh nhân đái tháo đường loại 1 và đối với những người bị hạ đường huyết không nhận biết hoặc hạ đường huyết về đêm.,01_daithaoduong.txt
65,Insulin,Mechanism,C1533581,dose: 15 units,Là cơ chế sinh bệnh học của,Giai đoạn trăng mật,DiseaseSubtype,Chưa có,,giai đoạn trăng mật) do quá trình tiết insulin được phục hồi một phần.,01_daithaoduong.txt
66,Insulin nội sinh,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Nồng độ glucose huyết tương dễ biến đổi có thể xuất hiện ở bệnh nhân đái tháo đường loại 1 vì sản xuất insulin nội sinh gần như là hoàn toàn không có,01_daithaoduong.txt
67,Insulin thang điểm trượt,Treatment,C0557977,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Tuy nhiên, một chế độ điều trị insulin theo thang điểm trượt không phải là một chiến lược hiệu quả để duy trì euglycemia ở bệnh nhân tiểu đường loại 1",01_daithaoduong.txt
68,Insulin tác dụng nhanh,Drug,C0356365,,Điều trị,Tăng đường huyết,DiseaseSubtype,C0020456,,"Thay vì phán xét các lựa chọn và hành vi cá nhân, các bác sĩ lâm sàng phải liên tục củng cố nhu cầu kiểm soát đường huyết cẩn thận, đặc biệt là theo dõi đường huyết thường xuyên và sử dụng insulin tác dụng nhanh, liều thấp, thường xuyên khi cần thiết.",01_daithaoduong.txt
69,Kháng insulin ngoại vi,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường,Disease,C0011849,,Đái tháo đường là suy giảm bài tiết insulin và nồng độ kháng insulin ngoại vi thay đổi dẫn đến tăng đường huyết.,01_daithaoduong.txt
70,Kháng sinh,DrugClass,C0003232,,Điều trị,Loét chân do bệnh lý thần kinh,DiseaseSubtype,C0406526,,"Vì hầu hết bệnh nhân với loét này có ít hoặc không có tắc động mạch lớn, cắt lọc và kháng sinh thường xuyên thường dẫn tới liền thương tốt và có thể phòng tránh phẫu thuật lớn.",01_daithaoduong.txt
71,Kháng thể GAD,Test,C0443891,,Dùng để chẩn đoán,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Những người có nguy cơ cao mắc bệnh tiểu đường loại 1 (ví dụ: anh chị em ruột và con cái của người mắc bệnh tiểu đường loại 1) có thể được kiểm tra sự hiện diện của tế bào tiểu đảo hoặc kháng thể decarboxylase kháng axit glutamic, trước khi khởi phát bệnh lâm sàng.",01_daithaoduong.txt
72,Kháng thể tế bào tiểu đảo,Test,C0063900,,Dùng để chẩn đoán,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Những người có nguy cơ cao mắc bệnh tiểu đường loại 1 (ví dụ: anh chị em ruột và con cái của người mắc bệnh tiểu đường loại 1) có thể được kiểm tra sự hiện diện của tế bào tiểu đảo hoặc kháng thể decarboxylase kháng axit glutamic, trước khi khởi phát bệnh lâm sàng.",01_daithaoduong.txt
73,Liệt dạ dày,Cause,C0152020,,Là nguyên nhân gây ra,Đái tháo đường không ổn định,DiseaseSubtype,C0342302,,"Nguyên nhân khác khiến nồng độ glucose trong huyết tương không ổn định gồm nhiễm trùng, liệt dạ dày (dẫn tới rối loạn hấp thu carbonhydrate) và bệnh nội tiết (ví dụ, bệnh Addison).",01_daithaoduong.txt
74,Liệu pháp bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Hạ đường huyết,DiseaseSubtype,C0020615,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
75,Liệu pháp bơm insulin vòng kín,Treatment,Chưa có,,Điều trị,Tăng đường huyết,DiseaseSubtype,C0020456,,liệu pháp bơm insulin vòng kín tăng cường cảm biến hoặc hỗn hợp là những công cụ hữu ích ở những người dao động giữa hạ đường huyết và tăng đường huyết.,01_daithaoduong.txt
76,Liệu pháp insulin,Treatment,C0021646,,Điều trị,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Tất cả bệnh nhân đái tháo đường loại 1 cần liệu pháp insulin.,01_daithaoduong.txt
77,Loét,Complication,C0041582,,Gây tổn thương cơ quan,Chi dưới,Organ,C0023216,,"vết loét sâu hơn và dễ bị nhiễm trùng, đặc biệt là ở chi dưới.",01_daithaoduong.txt
78,Lão hóa,RiskFactor,C0001811,,Làm tăng nguy cơ mắc,Suy giảm điều hòa glucose,DiseaseSubtype,C4302025,,"Suy giảm điều hòa glucose (Rối loạn dung nạp glucose, hoặc rối loạn glucose lúc đói - xem bảng Tiêu chuẩn chẩn đoán bệnh đái tháo đường và rối loạn điều hòa glucose) là trung gian, giai đoạn chuyển tiếp, tình trạng giữa chuyển hóa glucose bình thường và đái tháo đường, và trở nên phổ biến hơn với sự già hóa.",01_daithaoduong.txt
