STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
11,Fluoroquinolones,DrugClass,C0949665,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Những loại thuốc này có hiệu quả chống lại các chủng Haemophilus influenzae và Moraxella catarrhalis sản sinh ra beta-lactamase (trước đây gọi là Branhamella catarrhalis) nhưng chưa được chứng minh là có hiệu quả hơn các loại thuốc hàng đầu đối với hầu hết bệnh nhân.,03_dieutridotcap.txt
12,Ipratropium,Drug,C0027235,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,"Ipratropium, thuốc kháng cholinergic, có hiệu quả trong đợt cấp của COPD",03_dieutridotcap.txt
13,Kháng sinh,DrugClass,C0003232,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,Kháng sinh được khuyến nghị để điều trị đợt cấp ở bệnh nhân có đờm mủ.,03_dieutridotcap.txt
14,Kháng sinh,DrugClass,C0003232,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,Sử dụng kháng sinh nếu bệnh nhân có đợt cấp và đờm mủ.,03_dieutridotcap.txt
15,Khí dung liên tục,Treatment,C5670081,,Điều trị,Co thắt phế quản nặng,DiseaseSubtype,Chưa có,,"Trong trường hợp co thắt phế quản nặng, không đáp ứng, đôi khi có thể sử dụng phương pháp điều trị bằng khí dung liên tục.",03_dieutridotcap.txt
16,Liệu pháp oxy,Treatment,C3665674,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,đều cần bổ sung oxy trong đợt cấp.,03_dieutridotcap.txt
17,Liệu pháp oxy lưu lượng cao qua mũi (HFNC),Treatment,C4761117,,Điều trị,Suy hô hấp cấp,Disease,C0264490,,Cũng đã sử dụng liệu pháp oxy qua mũi với lưu lượng cao cho bệnh nhân suy hô hấp cấp do đợt cấp của COPD,03_dieutridotcap.txt
18,Macrolide,DrugClass,C0003240,,Dự phòng,Đợt cấp,DiseaseSubtype,C2919376,,"Ở những bệnh nhân có nhiều đợt cấp, sử dụng macrolide kéo dài làm giảm tần số đợt cấp",03_dieutridotcap.txt
19,Macrolide,DrugClass,C0003240,,Điều trị,Đợt cấp bệnh phổi,Disease,Chưa có,,"Ở những bệnh nhân có nhiều đợt cấp, sử dụng macrolide kéo dài làm giảm tần số đợt cấp",03_dieutridotcap.txt
20,Phù phổi,Disease,C0034063,,Là nguyên nhân gây ra,Tăng CO2 máu,Mechanism,C0020440,,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
21,Phù phổi,Disease,C0034063,,Là nguyên nhân gây ra,Tăng carbon dioxide,Disease,C0020440,,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
22,Thuốc an thần giảm nhẹ,DrugClass,C2878220,,Hỗ trợ chăm sóc cuối đời cho,COPD nặng,DiseaseSubtype,C0730607,,"Đối với những bệnh nhân mắc COPD nặng, hãy chủ động giải quyết vấn đề chăm sóc cuối đời, bao gồm các ưu tiên về thở máy và thuốc an thần giảm nhẹ.",03_dieutridotcap.txt
23,Thuốc chủ vận beta,DrugClass,C0001644,,Điều trị,Hẹp đường dẫn khí,Mechanism,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
24,Thuốc chủ vận beta,DrugClass,C0001644,,Điều trị,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
25,Thuốc chủ vận beta tác dụng ngắn,DrugClass,Chưa có,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,Thuốc chủ vận beta tác dụng ngắn dạng hít là nền tảng của điều trị bằng thuốc trong các đợt cấp tính.,03_dieutridotcap.txt
26,Thuốc chủ vận beta tác dụng ngắn (SABA),DrugClass,Chưa có,,Điều trị,Đợt cấp COPD,DiseaseSubtype,C0340044,,Thuốc chủ vận beta tác dụng ngắn dạng hít là nền tảng của điều trị bằng thuốc trong các đợt cấp tính.,03_dieutridotcap.txt
27,Thuốc kháng cholinergic,DrugClass,C0242896,,Điều trị,Hẹp đường dẫn khí,Mechanism,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
28,Thuốc kháng cholinergic,DrugClass,C0242896,,Điều trị,Tắc nghẽn đường thở,DiseaseSubtype,C0001883,,"Các thuốc chủ vận beta và thuốc kháng cholinergic, có hoặc không có corticosteroid, nên được bắt đầu đồng thời với liệu pháp oxy (bất kể cách dùng oxy) với mục đích làm giảm sự tắc nghẽn đường thở.",03_dieutridotcap.txt
29,Thông khí cơ học,Treatment,C0199470,,Điều trị,COPD nặng,DiseaseSubtype,C0730607,,"Đối với những bệnh nhân mắc COPD nặng, hãy chủ động giải quyết vấn đề chăm sóc cuối đời, bao gồm các ưu tiên về thở máy",03_dieutridotcap.txt
30,Thông khí cơ học,Treatment,C0199470,,Điều trị,Suy hô hấp cấp,Disease,C0264490,,Dù quá lo lắng đến sự phụ thuộc của máy thở cũng không nên trì hoãn việc điều trị suy hô hấp cấp; nhiều bệnh nhân cần thông khí cơ học có thể trở lại tình trạng sức khỏe với mức như trước khi bị đợt cấp.,03_dieutridotcap.txt
31,Thông khí không xâm lấn (NIV),Treatment,C2349740,,Điều trị,Tăng CO2 máu mạn tính nặng,DiseaseSubtype,Chưa có,,"Ở những bệnh nhân bị tăng CO2 mạn tính nặng phải nhập viện vì đợt cấp, thông khí không xâm lấn về đêm làm giảm tình trạng tăng CO2 máu",03_dieutridotcap.txt
32,Thông khí không xâm lấn về đêm,Treatment,Chưa có,,Điều trị,Tăng CO2 mạn tính nặng,Disease,Chưa có,,"Ở những bệnh nhân bị tăng CO2 mạn tính nặng phải nhập viện vì đợt cấp, thông khí không xâm lấn về đêm làm giảm tình trạng tăng CO2 máu",03_dieutridotcap.txt
33,Thông khí áp lực dương không xâm lấn,Treatment,C3164735,,Điều trị,Đợt cấp hen suyễn nặng,Complication,C3872851,,"Thông khí không xâm lấn dường như làm giảm nhu cầu đặt nội khí quản, giảm thời gian nằm viện và giảm tỷ lệ tử vong ở những bệnh nhân bị đợt cấp nặng",03_dieutridotcap.txt
34,Thông khí áp lực dương không xâm lấn,Treatment,C3164735,,Điều trị,Đợt cấp nặng,DiseaseSubtype,C3872851,,"Thông khí không xâm lấn dường như làm giảm nhu cầu đặt nội khí quản, giảm thời gian nằm viện và giảm tỷ lệ tử vong ở những bệnh nhân bị đợt cấp nặng",03_dieutridotcap.txt
35,Trimethoprim/sulfamethoxazole,Drug,C0041044,,Điều trị,Đợt cấp,DiseaseSubtype,C2919376,,"Trimethoprim/sulfamethoxazole, amoxicillin hoặc doxycycline được cho dùng trong 7 ngày đến 14 ngày.",03_dieutridotcap.txt
36,Viêm phổi,Complication,C0032285,,Là nguyên nhân gây ra,Tăng CO2 máu,Mechanism,C0020440,,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
37,Viêm phổi,Complication,C0032285,,Là nguyên nhân gây ra,Tăng carbon dioxide,Disease,C0020440,,các yếu tố khác gây tăng CO2 máu (ví dụ: viêm phổi hoặc phù phổi).,03_dieutridotcap.txt
38,"pH máu < 7,30",Measurement,Chưa có,Thông số: pH máu; Giá trị: <7.3,Xác định ngưỡng chẩn đoán cho,Đợt cấp hen suyễn nặng,Complication,C3872851,,"đợt cấp nặng (được xác định là pH < 7,30 ở những bệnh nhân huyết động ổn định không có nguy cơ ngừng hô hấp ngay lập tức)",03_dieutridotcap.txt
39,"pH máu < 7,30",Measurement,Chưa có,Thông số: pH máu; Giá trị: <7.3,Xác định ngưỡng chẩn đoán cho,Đợt cấp nặng,DiseaseSubtype,C3872851,,"đợt cấp nặng (được xác định là pH < 7,30 ở những bệnh nhân huyết động ổn định không có nguy cơ ngừng hô hấp ngay lập tức)",03_dieutridotcap.txt
40,"pH máu động mạch < 7,30",Measurement,Chưa có,Thông số: pH máu động mạch; Giá trị: <7.3,Xác định ngưỡng chẩn đoán cho,Đợt cấp hen suyễn nặng,Complication,C3872851,,"đợt cấp nặng (được xác định là pH < 7,30 ở những bệnh nhân huyết động ổn định không có nguy cơ ngừng hô hấp ngay lập tức)",03_dieutridotcap.txt
41,"pH máu động mạch < 7,30",Measurement,Chưa có,Thông số: pH máu động mạch; Giá trị: <7.3,Xác định ngưỡng chẩn đoán cho,Đợt cấp nặng,DiseaseSubtype,C3872851,,"đợt cấp nặng (được xác định là pH < 7,30 ở những bệnh nhân huyết động ổn định không có nguy cơ ngừng hô hấp ngay lập tức)",03_dieutridotcap.txt
