STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
18,Thuốc lợi tiểu thiazide,DrugClass,C0012802,,Điều trị,tăng huyết áp do renin thấp nhạy cảm với muối,DiseaseSubtype,Chưa có,,nên sử dụng thuốc chẹn kênh canxi hoặc thuốc lợi tiểu thiazide ban đầu vì những loại thuốc này hiệu quả hơn đối với những bệnh nhân bị tăng huyết áp do renin thấp nhạy cảm với muối,01_tanghuyetap.txt
19,Thời gian ngủ ngắn,RiskFactor,C0037316,Ngưỡng: < 5 hoặc 6 giờ/đêm,Làm tăng nguy cơ mắc,tăng huyết áp,Disease,C0020538,,"Thời gian ngủ ngắn (thường được định nghĩa là < 5 giờ hoặc 6 giờ mỗi đêm ở người lớn, có liên quan đến tăng huyết áp.",01_tanghuyetap.txt
20,Tăng aldosteron,Cause,C0020428,,Là nguyên nhân gây ra,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,Tăng aldosteron hoặc tăng cortisol cận lâm sàng được xác định ở 15% đến 20% số trường hợp tăng huyết áp kháng trị.,01_tanghuyetap.txt
21,Tăng huyết áp áo choàng trắng,DiseaseSubtype,C0262534,,Dẫn đến biến chứng,kết quả tim mạch bất lợi,Complication,C1320716,,Tăng huyết áp áo choàng trắng không được điều trị dường như có liên quan đến kết quả tim mạch bất lợi hơn so với huyết áp bình thường.,01_tanghuyetap.txt
22,Tăng huyết áp ẩn,DiseaseSubtype,C3178811,,Dẫn đến biến chứng,nguy cơ tim mạch,Complication,C4324389,,Tăng huyết áp ẩn và tăng huyết áp ẩn không kiểm soát được (ở những người đang được điều trị) có liên quan đến tăng nguy cơ tim mạch,01_tanghuyetap.txt
23,Tăng huyết áp ẩn không kiểm soát được,DiseaseSubtype,Chưa có,,Dẫn đến biến chứng,nguy cơ tim mạch,Complication,C4324389,,Tăng huyết áp ẩn và tăng huyết áp ẩn không kiểm soát được (ở những người đang được điều trị) có liên quan đến tăng nguy cơ tim mạch,01_tanghuyetap.txt
24,Xét nghiệm nước tiểu,Test,C0042014,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,"Các xét nghiệm có thể bao gồm Phân tích nước tiểu và tỷ lệ albumin/creatinin niệu; nếu bất thường, cân nhắc siêu âm thận",01_tanghuyetap.txt
25,angiotensin,Mechanism,C4521302,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
26,angiotensin II,Mechanism,C3714928,,Gây tổn thương cơ quan,não,Organ,C0006104,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II",01_tanghuyetap.txt
27,angiotensin II,Mechanism,C3714928,,Gây tổn thương cơ quan,phổi,Organ,C0024109,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II",01_tanghuyetap.txt
28,angiotensin II,Mechanism,C3714928,,Gây tổn thương cơ quan,thận,Organ,C0022646,,"Sản phẩm không hoạt động này bị phân cắt bởi enzym chuyển đổi angiotensin (ACE), chủ yếu ở phổi nhưng cũng có ở thận và não, thành angiotensin II",01_tanghuyetap.txt
29,angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,bệnh mạch thận,Cause,C0020545,,"Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận, ít nhất là trong giai đoạn đầu",01_tanghuyetap.txt
30,angiotensin II,Mechanism,C3714928,,Là cơ chế sinh bệnh học của,tăng huyết áp do mạch thận,DiseaseSubtype,C0020545,,"Nồng độ angiotensin II tăng cao thường được coi là nguyên nhân gây tăng huyết áp do thận, ít nhất là trong giai đoạn đầu",01_tanghuyetap.txt
31,bradykinin,Mechanism,C0006100,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"Thiếu hụt chất giãn mạch (ví dụ: bradykinin, oxit nitric), thay vì sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
32,"bơm natri-kali (Na+, K+-ATPase)",Mechanism,C1149024,,Là một phần của cơ chế,norepinephrine,Mechanism,C0028351,,"Bởi vì bơm Na+, K+-ATPase có thể bơm norepinephrine trở lại các tế bào thần kinh giao cảm (do đó bất hoạt chất dẫn truyền thần kinh này), sự ức chế cơ chế này cũng có thể làm tăng tác dụng của norepinephrine, gây tăng huyết áp.",01_tanghuyetap.txt
33,"bơm natri-kali (Na+, K+-ATPase)",Mechanism,C1149024,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"Trong nhiều trường hợp tăng huyết áp, quá trình vận chuyển natri qua màng tế bào mạch máu trở nên bất thường vì bơm natri-kali (Na+, K+-ATPase) bị khiếm khuyết hoặc bị ức chế",01_tanghuyetap.txt
34,bảng xét nghiệm chuyển hóa đầy đủ,Test,C0519825,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,"bảng xét nghiệm chuyển hóa đầy đủ (bao gồm creatinine hoặc cystatin C, kali và canxi)",01_tanghuyetap.txt
35,bệnh cơ tim giãn,Disease,C0007193,,Dẫn đến biến chứng,suy tim,Complication,C0018801,,"Cuối cùng, tâm thất giãn ra, gây ra bệnh cơ tim giãn và suy tim",01_tanghuyetap.txt
36,bệnh lý ở thận,Disease,C0022658,,Làm tăng nguy cơ mắc,bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
37,bệnh mạch thận,Cause,C0020545,,Là nguyên nhân gây ra,tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
38,bệnh nhu mô thận mạn tính,Cause,Chưa có,,Gây tổn thương cơ quan,thận,Organ,C0022646,,Tăng huyết áp do bệnh nhu mô thận mạn tính (cao huyết áp do thận) là kết quả của việc kết hợp cơ chế phụ thuộc renin và cơ chế phụ thuộc thể tích tuần hoàn.,01_tanghuyetap.txt
39,bệnh thận mạn tính,Cause,C1561643,,Là nguyên nhân gây ra,tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
40,bệnh tim mạch,Disease,C0007222,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,Disease,C0085580,,Phụ thuộc vào huyết áp và bệnh tim mạch hoặc các yếu tố nguy cơ kèm theo Tăng huyết áp tiên phát không chữa được,01_tanghuyetap.txt
41,bệnh tim mạch,Disease,C0007222,,Làm tăng nguy cơ mắc,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,Phụ thuộc vào huyết áp và bệnh tim mạch hoặc các yếu tố nguy cơ kèm theo Tăng huyết áp tiên phát không chữa được,01_tanghuyetap.txt
42,bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Gây tổn thương cơ quan,mắt,Organ,C4266572,,"Xơ vữa động mạch được đặc trưng bởi tình trạng phì đại, tăng sản và hyalin hóa ở lớp giữa của các động mạch nhỏ (tiểu động mạch), đặc biệt là ở mắt và thận.",01_tanghuyetap.txt
43,bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Gây tổn thương cơ quan,thận,Organ,C0022646,,"Xơ vữa động mạch được đặc trưng bởi tình trạng phì đại, tăng sản và hyalin hóa ở lớp giữa của các động mạch nhỏ (tiểu động mạch), đặc biệt là ở mắt và thận.",01_tanghuyetap.txt
44,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,Tăng huyết áp ẩn,DiseaseSubtype,C3178811,,"Nhóm bệnh nhân này có thể chiếm từ 10% đến 30% dân số trưởng thành và phổ biến hơn ở nam giới, người da đen không phải gốc Tây Ban Nha và những người mắc bệnh tiểu đường.",01_tanghuyetap.txt
45,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,bệnh tim mạch do xơ vữa động mạch,Disease,C0004153,,Bệnh đái tháo đường hoặc bệnh thận cũng là một phần trong các yếu tố nguy cơ của bệnh xơ vữa động mạch.,01_tanghuyetap.txt
46,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,giảm chức năng thận,Complication,C1565489,,"Đây là mối lo ngại đặc biệt đối với những bệnh nhân bị tiểu đường, những người có huyết áp tâm thu < 120 mm Hg hoặc huyết áp tâm trương gần 60 mm Hg làm tăng nguy cơ bị các biến cố bất lợi này.",01_tanghuyetap.txt
47,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,hoa mắt chóng mặt,Complication,C0012833,,"Đây là mối lo ngại đặc biệt đối với những bệnh nhân bị tiểu đường, những người có huyết áp tâm thu < 120 mm Hg hoặc huyết áp tâm trương gần 60 mm Hg làm tăng nguy cơ bị các biến cố bất lợi này.",01_tanghuyetap.txt
48,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,suy thận,Disease,C1565489,,"Đây là mối lo ngại đặc biệt đối với những bệnh nhân bị tiểu đường, những người có huyết áp tâm thu < 120 mm Hg hoặc huyết áp tâm trương gần 60 mm Hg làm tăng nguy cơ bị các biến cố bất lợi này.",01_tanghuyetap.txt
49,bệnh tiểu đường,Disease,C0011849,,Làm tăng nguy cơ mắc,tăng huyết áp,Disease,C0020538,,mặc dù bệnh nhân mắc bệnh tiểu đường thường cũng bị tăng huyết áp.,01_tanghuyetap.txt
50,cha mẹ bị tăng huyết áp,RiskFactor,C0455405,,Làm tăng nguy cơ mắc,tăng huyết áp,Disease,C0020538,,Khiếm khuyết trong vận chuyển natri có thể xảy ra ở trẻ có huyết áp bình thường nhưng có cha mẹ bị tăng huyết áp.,01_tanghuyetap.txt
51,chế độ ăn kiêng và tập thể dục,Treatment,C0454378,,Điều trị,tăng huyết áp,Disease,C0020538,,"Trong số những người được khuyến nghị dùng thuốc điều trị huyết áp và thay đổi lối sống, khả năng kiểm soát huyết áp cao hơn ở người lớn da trắng không phải gốc Tây Ban Nha (31%) so với người lớn da đen không phải gốc Tây Ban Nha (20%), người lớn châu Á không phải gốc Tây Ban Nha (24%) hoặc người lớn gốc Tây Ban Nha (23%) (1).",01_tanghuyetap.txt
52,căng thẳng,RiskFactor,C0038443,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,Disease,C0085580,,"Ở độ tuổi trẻ hơn, các yếu tố môi trường (ví dụ: natri trong chế độ ăn, căng thẳng) dường như chỉ ảnh hưởng đến những người có cơ địa dễ mắc bệnh",01_tanghuyetap.txt
53,căng thẳng,RiskFactor,C0038443,,Làm tăng nguy cơ mắc,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,"Ở độ tuổi trẻ hơn, các yếu tố môi trường (ví dụ: natri trong chế độ ăn, căng thẳng) dường như chỉ ảnh hưởng đến những người có cơ địa dễ mắc bệnh",01_tanghuyetap.txt
54,cường aldosteron nguyên phát,Cause,C1384514,,Là nguyên nhân gây ra,tăng huyết áp,Disease,C0020538,,"Dạng này là điển hình của tăng huyết áp nguyên phát và tăng huyết áp do cường aldosteron nguyên phát, u tủy thượng thận, bệnh mạch thận và bệnh nhu mô thận.",01_tanghuyetap.txt
55,cường aldosteron nguyên phát,Cause,C1384514,,Là nguyên nhân gây ra,tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,Tăng huyết áp đã xác định được nguyên nhân (tăng huyết áp thứ phát) thường là do cường aldosteron nguyên phát.,01_tanghuyetap.txt
56,di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,Disease,C0085580,,"Di truyền là một yếu tố ảnh hưởng, nhưng cơ chế chính xác mà yếu tố di truyền đóng vai trò vẫn chưa rõ ràng.",01_tanghuyetap.txt
57,di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,"Di truyền là một yếu tố ảnh hưởng, nhưng cơ chế chính xác mà yếu tố di truyền đóng vai trò vẫn chưa rõ ràng.",01_tanghuyetap.txt
58,già hóa,RiskFactor,C0001811,,Làm tăng nguy cơ mắc,động mạch cứng,DiseaseSubtype,C0003850,,"Giảm oxit nitric, do động mạch cứng, xảy ra khi lão hóa",01_tanghuyetap.txt
59,giáo dục bệnh nhân,Treatment,C0030688,,Điều trị,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,"Giáo dục, với sự đồng cảm và hỗ trợ, là điều cần thiết để điều trị thành công.",01_tanghuyetap.txt
60,huyết áp tâm thu >= 180 mm Hg,Measurement,Chưa có,Thông số: Huyết áp tâm trương lúc nghỉ; Giá trị: 180 mmHg; type: systolic,Xác định ngưỡng chẩn đoán cho,tăng huyết áp,Disease,C0020538,,"Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (>= 130 mmHg) hoặc huyết áp tâm trương lúc nghỉ (>= 80 mm Hg), hoặc cả hai.",01_tanghuyetap.txt
61,huyết áp tâm thu >= 180 mm Hg,Measurement,Chưa có,Thông số: Huyết áp tâm trương lúc nghỉ; Giá trị: 180 mmHg; type: systolic,Xác định ngưỡng chẩn đoán cho,tăng huyết áp khẩn cấp,DiseaseSubtype,C0745138,,tăng huyết áp nặng (thường được định nghĩa là huyết áp tâm thu >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg) cũng có thể không có triệu chứng (tăng huyết áp khẩn cấp).,01_tanghuyetap.txt
62,hẹp động mạch thận,Cause,C0035067,,Là nguyên nhân gây ra,tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,"Ngưng thở khi ngủ, bệnh thận mạn tính hoặc hẹp động mạch thận là những nguyên nhân khác gây tăng huyết áp thứ phát.",01_tanghuyetap.txt
63,hệ renin-angiotensin,Mechanism,C0035096,,Là cơ chế sinh bệnh học của,Tăng huyết áp tiên phát,Disease,C0085580,,"trong tăng huyết áp tiên phát huyết động và các thành phần sinh lý (ví dụ: thể tích huyết tương, hoạt động của hệ renin-angiotensin) rất biến đổi",01_tanghuyetap.txt
64,hệ renin-angiotensin,Mechanism,C0035096,,Là cơ chế sinh bệnh học của,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,"trong tăng huyết áp tiên phát huyết động và các thành phần sinh lý (ví dụ: thể tích huyết tương, hoạt động của hệ renin-angiotensin) rất biến đổi",01_tanghuyetap.txt
65,hở van động mạch chủ,Cause,C0003504,,Là nguyên nhân gây ra,tăng huyết áp tâm thu đơn độc,DiseaseSubtype,C0745133,,"Một số rối loạn làm tăng CO (ví dụ: nhiễm độc giáp, rò động-tĩnh mạch, hở van động mạch chủ), đặc biệt khi thể tích nhát bóp tăng lên, gây tăng huyết áp tâm thu đơn độc.",01_tanghuyetap.txt
66,không tuân thủ điều trị,RiskFactor,C0746935,,Làm tăng nguy cơ mắc,tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,"Việc không tuân thủ điều trị, đặc biệt vì cần phải điều trị suốt đời, có thể cản trở việc kiểm soát huyết áp thích hợp.",01_tanghuyetap.txt
67,kích thích thần kinh giao cảm,Mechanism,C0038996,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,Kích thích thần kinh giao cảm làm tăng huyết áp,01_tanghuyetap.txt
68,lưu lượng tim (CO),Mechanism,C0007165,,Là cơ chế sinh bệnh học của,huyết áp,Disease,C1271104,,"Bởi vì huyết áp bằng lưu lượng tim (CO) nhân với tổng sức cản mạch ngoại vi (TPR), cơ chế gây bệnh liên quan đến",01_tanghuyetap.txt
69,lượng natri và canxi nội bào,Mechanism,Chưa có,,Là một phần của cơ chế,kích thích thần kinh giao cảm,Mechanism,C0038996,,"Kết quả là lượng natri và canxi nội bào tăng lên, khiến tế bào nhạy cảm hơn với kích thích thần kinh giao cảm.",01_tanghuyetap.txt
70,muối,RiskFactor,C0037570,,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,Disease,C0085580,,"ở những bệnh nhân trên 65 tuổi, lượng natri cao có nhiều khả năng gây tăng huyết áp.",01_tanghuyetap.txt
71,muối,RiskFactor,C0037570,,Làm tăng nguy cơ mắc,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,"ở những bệnh nhân trên 65 tuổi, lượng natri cao có nhiều khả năng gây tăng huyết áp.",01_tanghuyetap.txt
72,một nguyên nhân được xác định,Cause,Chưa có,,Là nguyên nhân gây ra,tăng huyết áp thứ phát,DiseaseSubtype,C0155616,,Thứ phát (một nguyên nhân được xác định),01_tanghuyetap.txt
73,natri trong chế độ ăn,RiskFactor,Chưa có,age_group: > 65 tuổi,Làm tăng nguy cơ mắc,Tăng huyết áp tiên phát,Disease,C0085580,,"Ở độ tuổi trẻ hơn, các yếu tố môi trường (ví dụ: natri trong chế độ ăn, căng thẳng) dường như chỉ ảnh hưởng đến những người có cơ địa dễ mắc bệnh",01_tanghuyetap.txt
74,natri trong chế độ ăn,RiskFactor,Chưa có,age_group: > 65 tuổi,Làm tăng nguy cơ mắc,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,,"Ở độ tuổi trẻ hơn, các yếu tố môi trường (ví dụ: natri trong chế độ ăn, căng thẳng) dường như chỉ ảnh hưởng đến những người có cơ địa dễ mắc bệnh",01_tanghuyetap.txt
75,nhiễm độc giáp,Cause,C0040156,,Là nguyên nhân gây ra,tăng huyết áp tâm thu đơn độc,DiseaseSubtype,C0745133,,"Một số rối loạn làm tăng CO (ví dụ: nhiễm độc giáp, rò động-tĩnh mạch, hở van động mạch chủ), đặc biệt khi thể tích nhát bóp tăng lên, gây tăng huyết áp tâm thu đơn độc.",01_tanghuyetap.txt
76,norepinephrine,Mechanism,C0028351,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"sự ức chế cơ chế này cũng có thể làm tăng tác dụng của norepinephrine, gây tăng huyết áp.",01_tanghuyetap.txt
77,oxit nitric,Mechanism,C0028128,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"Thiếu hụt chất giãn mạch (ví dụ: bradykinin, oxit nitric), thay vì sự dư thừa chất co mạch (ví dụ: angiotensin, norepinephrine), có thể gây tăng huyết áp.",01_tanghuyetap.txt
78,phì đại,DiseaseSubtype,C0149721,,Dẫn đến biến chứng,bệnh cơ tim giãn,Disease,C0007193,,"Cuối cùng, tâm thất giãn ra, gây ra bệnh cơ tim giãn và suy tim",01_tanghuyetap.txt
79,phì đại,DiseaseSubtype,C0149721,,Dẫn đến biến chứng,suy tim,Complication,C0018801,,"Cuối cùng, tâm thất giãn ra, gây ra bệnh cơ tim giãn và suy tim",01_tanghuyetap.txt
80,rò động-tĩnh mạch,Cause,C0003855,,Là nguyên nhân gây ra,tăng huyết áp tâm thu đơn độc,DiseaseSubtype,C0745133,,"Một số rối loạn làm tăng CO (ví dụ: nhiễm độc giáp, rò động-tĩnh mạch, hở van động mạch chủ), đặc biệt khi thể tích nhát bóp tăng lên, gây tăng huyết áp tâm thu đơn độc.",01_tanghuyetap.txt
81,rối loạn chức năng tế bào nội mô,Mechanism,C0856169,,Là cơ chế sinh bệnh học của,tăng huyết áp,Disease,C0020538,,"Do đó, rối loạn chức năng tế bào nội mô ảnh hưởng lớn đến huyết áp.",01_tanghuyetap.txt
82,rối loạn hệ thần kinh trung ương (CNS),Disease,C0007682,,Gây tổn thương cơ quan,hệ thần kinh trung ương (CNS),Organ,C3714787,,rối loạn hệ thần kinh trung ương (CNS),01_tanghuyetap.txt
83,siêu âm thận,Test,C0203408,,Dùng để chẩn đoán,tăng huyết áp,Disease,C0020538,,"nếu bất thường, cân nhắc siêu âm thận",01_tanghuyetap.txt
84,siêu âm tim,Test,C0013516,,Dùng để chẩn đoán,phì đại,DiseaseSubtype,C0149721,,"Khi quan sát thấy phì đại thất trái trên ECG, siêu âm tim thường sẽ được thực hiện.",01_tanghuyetap.txt
85,theo dõi huyết áp lưu động,Test,C0242876,,Dùng để chẩn đoán,Tăng huyết áp áo choàng trắng,DiseaseSubtype,C0262534,,Theo dõi huyết áp tại nhà hoặc theo dõi huyết áp lưu động được chỉ định khi nghi ngờ bị tăng huyết áp áo choàng trắng hoặc tăng huyết áp ẩn.,01_tanghuyetap.txt
86,theo dõi huyết áp lưu động,Test,C0242876,,Dùng để chẩn đoán,Tăng huyết áp ẩn,DiseaseSubtype,C3178811,,Theo dõi huyết áp tại nhà hoặc theo dõi huyết áp lưu động được chỉ định khi nghi ngờ bị tăng huyết áp áo choàng trắng hoặc tăng huyết áp ẩn.,01_tanghuyetap.txt
87,thiết bị đo dao động hoàn toàn tự động,Test,Chưa có,,Dùng để chẩn đoán,huyết áp,Disease,C1271104,,Các thiết bị đo dao động hoàn toàn tự động có thể cung cấp các phép đo huyết áp chính xác và giảm thiểu lỗi của con người.,01_tanghuyetap.txt
88,thuốc chẹn kênh canxi,DrugClass,C0006684,,Ưu tiên chỉ định cho,đau thắt ngực,Disease,C0002963,,thuốc chẹn kênh canxi cho bệnh nhân đau thắt ngực,01_tanghuyetap.txt
89,thuốc chẹn kênh canxi,DrugClass,C0006684,,Điều trị,tăng huyết áp,Disease,C0020538,,"Điều trị bao gồm thay đổi lối sống và dùng thuốc, bao gồm thuốc lợi tiểu, thuốc ức chế men chuyển angiotensin (ACE), thuốc ức chế thụ thể angiotensin II và thuốc chẹn kênh canxi.",01_tanghuyetap.txt
