STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Quan hệ (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Đồng thuận (Passes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
11,Tăng huyết áp,Disease,C0020538,AFFECTS_ORGAN,Não,Organ,C0006104,2/2,Tăng huyết áp lâu ngày gây tổn thương các cơ quan đích như Não,hypertension_sample.txt
12,Tăng huyết áp,Disease,C0020538,AFFECTS_ORGAN,Thận,Organ,C0022646,2/2,Tăng huyết áp lâu ngày gây tổn thương các cơ quan đích như Thận,hypertension_sample.txt
13,Tăng huyết áp,Disease,C0020538,AFFECTS_ORGAN,Tim,Organ,C0018787,2/2,Tăng huyết áp lâu ngày gây tổn thương các cơ quan đích như Tim,hypertension_sample.txt
14,Tăng huyết áp,Disease,C0020538,LEADS_TO,Nhồi máu cơ tim,Complication,C0027051,2/2,Tăng huyết áp là yếu tố nguy cơ chính dẫn đến... Nhồi máu cơ tim,hypertension_sample.txt
15,Tăng huyết áp,Disease,C0020538,LEADS_TO,Suy tim mạn tính,Complication,C0018802,2/2,Tăng huyết áp là yếu tố nguy cơ chính dẫn đến... Suy tim mạn tính,hypertension_sample.txt
16,Tăng huyết áp,Disease,C0020538,LEADS_TO,Đột quỵ,Complication,C0038454,2/2,Tăng huyết áp dẫn đến đột quỵ,test_aura.txt
17,bệnh nhu mô thận,Cause,C1841992,CAUSES,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,"Nguyên nhân gây Tăng huyết áp thứ phát bao gồm bệnh nhu mô thận, hẹp động mạch thận, và Cường aldosteron nguyên phát.",hypertension_sample.txt
18,bệnh nhu mô thận,Cause,C0403447,CAUSES,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,Nguyên nhân gây Tăng huyết áp thứ phát bao gồm bệnh nhu mô thận,hypertension_sample.txt
19,bệnh thận mạn tính,Cause,C1561643,CAUSES,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,bệnh thận mạn tính... là những nguyên nhân khác gây tăng huyết áp thứ phát.,hypertension_sample.txt
20,cường aldosteron nguyên phát,Cause,C0020438,CAUSES,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,"Nguyên nhân gây Tăng huyết áp thứ phát bao gồm bệnh nhu mô thận, hẹp động mạch thận, và Cường aldosteron nguyên phát.",hypertension_sample.txt
21,cường aldosteron nguyên phát,Cause,C0020438,LEADS_TO,Tăng huyết áp,Disease,C0020538,2/2,Cường aldosteron nguyên phát... là một nguyên nhân quan trọng dẫn đến Tăng huyết áp.,hypertension_sample.txt
22,giữ nước,Mechanism,Chưa có,AFFECTS_ORGAN,ống thận,Organ,C0022674,2/2,giữ nước tại ống thận,hypertension_sample.txt
23,hẹp động mạch thận,Cause,C0035067,CAUSES,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,2/2,"Nguyên nhân gây Tăng huyết áp thứ phát bao gồm bệnh nhu mô thận, hẹp động mạch thận, và Cường aldosteron nguyên phát.",hypertension_sample.txt
24,tăng huyết áp nguyên phát,DiseaseSubtype,C0085580,IS_SUBTYPE_OF,Tăng huyết áp,Disease,C0020538,2/2,Tăng huyết áp gồm hai thể chính: Tăng huyết áp nguyên phát (vô căn) chiếm khoảng 90-95% các trường hợp và Tăng huyết áp thứ phát.,hypertension_sample.txt
25,tăng huyết áp thứ phát,DiseaseSubtype,C0155615,IS_SUBTYPE_OF,Tăng huyết áp,Disease,C0020538,2/2,Tăng huyết áp gồm hai thể chính: Tăng huyết áp nguyên phát (vô căn) chiếm khoảng 90-95% các trường hợp và Tăng huyết áp thứ phát.,hypertension_sample.txt
26,tăng tái hấp thu natri,Mechanism,Chưa có,AFFECTS_ORGAN,ống thận,Organ,C0022674,2/2,tăng tái hấp thu natri tại ống thận,hypertension_sample.txt
27,tăng tái hấp thu natri,Mechanism,Chưa có,UNDERLIES,Tăng huyết áp,Disease,C0020538,2/2,Cường aldosteron nguyên phát làm tăng tái hấp thu natri... là một nguyên nhân quan trọng dẫn đến Tăng huyết áp.,hypertension_sample.txt
28,≥ 130 mmHg,Measurement,Chưa có,DEFINES_THRESHOLD_FOR,Tăng huyết áp,Disease,C0020538,2/2,Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (≥ 130 mmHg),hypertension_sample.txt
29,≥ 80 mm Hg,Measurement,Chưa có,DEFINES_THRESHOLD_FOR,Tăng huyết áp,Disease,C0020538,2/2,Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm trương lúc nghỉ (≥ 80 mm Hg),hypertension_sample.txt
