STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
22,Chức năng hô hấp,Test,C0035227,,Dùng để chẩn đoán,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,Nguy cơ được đánh giá bởi các đặc điểm lâu dài về chức năng hô hấp và các lâm sàng như,henphequan.txt
23,Co thắt phế quản,Mechanism,C0006266,,Gây tổn thương cơ quan,Phế quản,Organ,C0006255,,"Thuật ngữ cơn hen phế quản mô tả sự co thắt phế quản nặng, dữ dội và kéo dài có khả năng kháng trị.",henphequan.txt
24,Co thắt phế quản,Mechanism,C0006266,,Là cơ chế sinh bệnh học của,Cơn hen,Complication,C0347950,,"Thuật ngữ cơn hen phế quản mô tả sự co thắt phế quản nặng, dữ dội và kéo dài có khả năng kháng trị.",henphequan.txt
25,Co thắt phế quản,Mechanism,C0006266,,Là cơ chế sinh bệnh học của,Cơn hen phế quản,DiseaseSubtype,C0347950,,"Thuật ngữ cơn hen phế quản mô tả sự co thắt phế quản nặng, dữ dội và kéo dài có khả năng kháng trị.",henphequan.txt
26,Co thắt phế quản,Mechanism,C0006266,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,"GERD là một tác nhân thông thường trong một số bệnh nhân hen, có thể thông qua phản ứng co thắt phế quản do axit thực quản hoặc do hít phải axit.",henphequan.txt
27,Co thắt phế quản nặng,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,bệnh nhân bị co thắt phế quản nặng có thể không có thở khò khè nghe thấy được do luồng khí thở bị giới hạn rõ rệt.,henphequan.txt
28,Corticosteroid,DrugClass,C0001617,,Điều trị,Hen,Disease,C0004096,,tầm quan trọng của việc sử dụng corticosteroid sớm.,henphequan.txt
29,Corticosteroid,Drug,C0001617,,Điều trị,Hen kích ứng,Disease,Chưa có,,"RADS và hen kích ứng mạn tính có nhiều điểm tương đồng về lâm sàng với hen (ví dụ: thở khò khè, khó thở, ho, có hạn chế luồng khí, tăng đáp ứng phế quản) và đáp ứng đáng kể với thuốc giãn phế quản và thường là corticosteroid.",henphequan.txt
30,Corticosteroid,DrugClass,C0001617,,Điều trị,RADS,Disease,C1299633,,"RADS và hen kích ứng mạn tính có nhiều điểm tương đồng về lâm sàng với hen (ví dụ: thở khò khè, khó thở, ho, có hạn chế luồng khí, tăng đáp ứng phế quản) và đáp ứng đáng kể với thuốc giãn phế quản và thường là corticosteroid.",henphequan.txt
31,Corticosteroid dạng hít,DrugClass,C4020618,,Điều trị,Hen,Disease,C0004096,,"Điều trị liên quan đến kiểm soát các yếu tố khởi phát và điều trị bằng thuốc, thường dùng nhất là thuốc cường beta-2 và corticosteroid dạng hít.",henphequan.txt
32,Corticosteroid dạng hít (ICS),DrugClass,C3540702,,Điều trị,Hen,Disease,C0004096,,Một số nghiên cứu cho thấy việc sử dụng corticosteroid đường hít làm giảm tỷ lệ nhập viện và tử vong.,henphequan.txt
33,Corticosteroid dạng hít (ICS),DrugClass,C3540702,,Điều trị,Rối loạn thông khí tắc nghẽn,Disease,C0746984,,"xác định mức độ hồi phục của rối loạn thông khí tắc nghẽn (ví dụ, bằng cách dùng thử corticosteroid hít trong 2 tới 3 tuần",henphequan.txt
34,Corticosteroid hít,Drug,C3540702,,Điều trị,Hen,Disease,C0004096,,Một số nghiên cứu cho thấy việc sử dụng corticosteroid đường hít làm giảm tỷ lệ nhập viện và tử vong.,henphequan.txt
35,Corticosteroid hít,Drug,C3540702,,Điều trị,Rối loạn thông khí tắc nghẽn,Disease,C0746984,,"xác định mức độ hồi phục của rối loạn thông khí tắc nghẽn (ví dụ, bằng cách dùng thử corticosteroid hít trong 2 tới 3 tuần",henphequan.txt
36,Corticosteroid hệ thống,DrugClass,C4053960,,Điều trị,Đợt cấp hen suyễn,DiseaseSubtype,C0340066,,Điều trị bao gồm Thuốc giãn phế quản dạng hít (thuốc chủ vận beta và thuốc kháng cholinergic) Thường là corticosteroid đường toàn thân,henphequan.txt
37,Corticosteroid đường toàn thân,Drug,C4053960,,Điều trị,Đợt cấp hen suyễn,DiseaseSubtype,C0340066,,Điều trị bao gồm Thuốc giãn phế quản dạng hít (thuốc chủ vận beta và thuốc kháng cholinergic) Thường là corticosteroid đường toàn thân,henphequan.txt
38,Cromolyn,Drug,C0012694,,Điều trị,Hen,Disease,C0004096,,"Trẻ nhỏ và trẻ em < 5 tuổi cần điều trị > 2 lần/tuần nên được dùng thuốc chống viêm hàng ngày với corticosteroid dạng hít (ưu tiên), thuốc đối kháng thụ thể leukotriene, hoặc cromolyn.",henphequan.txt
39,Cơ trơn tái cấu trúc,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,Nhiệt làm giảm số lượng cơ trơn tái cấu trúc của đường thở (và do đó tác động lên khối cơ trơn) xảy ra với bệnh hen suyễn.,henphequan.txt
40,Cơn co thắt phế quản lan tỏa,DiseaseSubtype,Chưa có,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Hầu hết các bệnh nhân đều có thể bù đắp bằng cách thở nhanh, nhưng trong trường hợp nặng, cơn co thắt phế quản lan tỏa gây ra sự ứ khí nghiêm trọng và các cơ hô hấp bị bất lợi về mặt cơ học vì vậy sự hít thở gắng sức sẽ tăng lên.",henphequan.txt
41,Cải thiện FEV1 > 12% hoặc >= 10% FEV1 dự đoán,Measurement,Chưa có,Thông số: Cải thiện FEV1,Xác định ngưỡng chẩn đoán cho,Rối loạn thông khí tắc nghẽn có hồi phục,DiseaseSubtype,Chưa có,,Sự cải thiện FEV1 > 12% hoặc tăng >= 10% so với FEV1 dự đoán sau dùng thuốc giãn phế quản thể hiện rối loạn thông khí tắc nghẽn có hồi phục,henphequan.txt
42,Cải thiện FEV1 sau thuốc giãn phế quản > 12% hoặc >= 10% dự đoán,Measurement,Chưa có,Thông số: Cải thiện FEV1 sau thuốc giãn phế quản,Xác định ngưỡng chẩn đoán cho,Rối loạn thông khí tắc nghẽn có hồi phục,DiseaseSubtype,Chưa có,,Sự cải thiện FEV1 > 12% hoặc tăng >= 10% so với FEV1 dự đoán sau dùng thuốc giãn phế quản thể hiện rối loạn thông khí tắc nghẽn có hồi phục,henphequan.txt
43,DLCO,Test,C1516251,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Xét nghiệm DLCO có thể giúp phân biệt hen suyễn với COPD.,henphequan.txt
44,DLCO,Test,C1516251,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Xét nghiệm DLCO có thể giúp phân biệt hen suyễn với COPD.,henphequan.txt
45,DLCO,Test,C1516251,,Dùng để chẩn đoán,Hạn chế luồng khí,Sign,C0024117,,Xét nghiệm DLCO có thể giúp phân biệt hen suyễn với COPD.,henphequan.txt
46,Dị nguyên môi trường,RiskFactor,C4304127,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,Yếu tố khởi phát hen trải dài từ các dị nguyên trong môi trường,henphequan.txt
47,Dụng cụ hít định liều (MDI),Treatment,C0993596,,Điều trị,Hen,Disease,C0004096,,cách sử dụng buồng đệm với dụng cụ hít định liều (MDI),henphequan.txt
48,FEV1,Measurement,Chưa có,Thông số: FEV1,Làm thay đổi / điều biến,Hen,Disease,C0004096,,"Suy giảm chức năng hoặc suy giảm chức năng sinh lý, suy giảm khách quan ở phổi có thể được đo bằng phương pháp đo phế dung kế, chủ yếu là thể tích thở ra gắng sức trong 1 giây (FEV1) và tỷ lệ giữa FEV1 với dung tích sống gắng sức (FVC), tương quan chặt chẽ với các thành phần chủ quan kiểm soát hen suyễn bao gồm các triệu chứng và các đặc điểm lâm sàng như là",henphequan.txt
49,FEV1 >= 50% dự đoán,Measurement,Chưa có,Thông số: FEV1; Giá trị: >=50 % dự đoán,Xác định ngưỡng chẩn đoán cho,Hen nặng không kiểm soát,DiseaseSubtype,C3862402,,"Tiêu chuẩn để xem xét chỉnh hình phế quản bằng nhiệt bao gồm bệnh hen nặng không được kiểm soát bằng corticosteroid dạng hít và các thuốc chủ vận beta tác dụng kéo dài, sử dụng corticosteroid uống liên tục hoặc từng đợt, FEV1 >= 50% dự đoán và không có tiền sử đợt cấp nguy hiểm tính mạng.",henphequan.txt
50,FeNO,Test,C5445160,,Dùng để chẩn đoán,Hen,Disease,C0004096,,Phép đo nitric oxide theo phân đoạn thở ra đã được đề xuất như một phương pháp hỗ trợ trong việc đánh giá mức độ kiểm soát hen suyễn,henphequan.txt
51,FeNO,Test,C5445160,,Là cơ chế sinh bệnh học của,Viêm do dị ứng (T2),DiseaseSubtype,Chưa có,,"T2, hoặc viêm do dị ứng, thường được đặc trưng bởi tăng oxit nitric thở ra (FeNO)",henphequan.txt
52,Gen ADAM33,Mechanism,C1423517,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,"Ngoài ra,gen ADAM33 có thể kích thích cơ trơn đường hô hấp và tăng sinh nguyên bào sợi và tái cấu trúc; Đây là locus có nguy cơ mắc hen đầu tiên được tìm thấy",henphequan.txt
53,Gen ORMDL3,Mechanism,C1423930,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,"Vị trí này chứa gen ORMDL3, đó là một chất gây dị ứng và gen cytokine (IL-4/IL-13) có liên quan đến sự tái cấu trúc tế bào biểu mô và sự tăng chuyển hóa sponolipid.",henphequan.txt
54,Gen nhạy cảm hen,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,Sự phát triển hen suyễn là do nhiều tác động và phụ thuộc vào sự tương tác giữa các gen nhạy cảm và các yếu tố môi trường.,henphequan.txt
55,Giáo dục bệnh nhân,Treatment,C0030688,,Điều trị,Hen,Disease,C0004096,,Bệnh nhân sẽ làm tốt hơn khi họ hiểu biết hơn về bệnh hen,henphequan.txt
56,Giải mẫn cảm,Treatment,C1709852,,Điều trị,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,,giải mẫn cảm có thể được thực hiện trong các phòng khám nội trú hoặc ngoại trú tùy thuộc vào mức độ aspirin độ nhạy và mức độ hen,henphequan.txt
57,Giảm cân,Treatment,C5203233,,Điều trị,Hen,Disease,C0004096,,Nhiều nghiên cứu đã cho thấy mức độ nặng và các đợt cấp của bệnh hen suyễn giảm sau khi giảm cân.,henphequan.txt
58,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
59,Giới nữ,RiskFactor,C0086287,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Giới nữ, hút thuốc, tuổi dậy thì sớm, nhạy cảm với bọ ve trong nhà là những yếu tố nguy cơ cho hen kéo dài và tái phát.",henphequan.txt
60,Hen,Disease,C0004096,,Gây tổn thương cơ quan,Đường thở,Organ,C0458827,,hình thành quá trình viêm thâm nhiễm lan rộng vào biểu mô và cơ trơn đường thở,henphequan.txt
61,Hen,Disease,C0004096,,Có triệu chứng cơ năng,Ho,Symptom,C0010200,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
62,Hen,Disease,C0004096,,Có triệu chứng cơ năng,Khó thở,Symptom,C0013404,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
63,Hen,Disease,C0004096,,Có triệu chứng cơ năng,Triệu chứng hen,Symptom,C1276804,,khi bệnh nhân đáp ứng tốt điều trị thì sẽ có ít triệu chứng.,henphequan.txt
64,Hen,Disease,C0004096,,Có triệu chứng cơ năng,Tức ngực,Symptom,C0008031,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
65,Hen,Disease,C0004096,,Có triệu chứng cơ năng,Đau ngực,Sign,C0008031,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
66,Hen,Disease,C0004096,,Dẫn đến biến chứng,Cân nặng khi sinh thấp,Complication,C0024032,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non và cân nặng khi sinh thấp.",henphequan.txt
67,Hen,Disease,C0004096,,Dẫn đến biến chứng,Sinh non,Complication,C0151526,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non",henphequan.txt
68,Hen,Disease,C0004096,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,Bệnh nhân có đợt kịch phát nặng và sắp xảy ra suy hô hấp,henphequan.txt
69,Hen,Disease,C0004096,,Dẫn đến biến chứng,Tái cấu trúc đường thở,Complication,C2717792,,"Theo thời gian, đường thở ở một số bệnh nhân bị hen suyễn trải qua sự thay đổi cấu trúc vĩnh viễn (tái cấu trúc)",henphequan.txt
70,Hen,Disease,C0004096,,Dẫn đến biến chứng,Tử vong,Complication,C1306577,,Mặc dù một số đáng kể ca tử vong hàng năm là do bệnh hen,henphequan.txt
71,Hen,Disease,C0004096,,Dẫn đến biến chứng,Tử vong trước sinh,Complication,C0277604,,bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh,henphequan.txt
72,Hen,Disease,C0004096,,Dẫn đến biến chứng,cân nặng sơ sinh thấp,RiskFactor,C0024032,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non và cân nặng khi sinh thấp.",henphequan.txt
73,Hen,Disease,C0004096,,Dẫn đến biến chứng,Đợt cấp hen suyễn nặng,Complication,C3872851,,"Ví dụ, bệnh nhân bị hen suyễn nhẹ không có triệu chứng hoặc triệu chứng nhẹ và chức năng phổi bình thường vẫn có thể bị đợt cấp nặng đe dọa đến tính mạng.",henphequan.txt
74,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
75,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Tăng carbon dioxide,Disease,C0020440,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
76,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Tăng carbonic máu,Mechanism,C0020440,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
77,Hen suyễn ban đêm,DiseaseSubtype,C1273489,,Là phân loại / thể bệnh của,Hen,Disease,C0004096,,Nhiều bệnh nhân bị bệnh nặng hơn sẽ bị thức giấc vào ban đêm (hen suyễn ban đêm).,henphequan.txt
78,Hen suyễn nhẹ,DiseaseSubtype,C0581124,,Là phân loại / thể bệnh của,Hen,Disease,C0004096,,"Ví dụ, bệnh nhân bị hen suyễn nhẹ không có triệu chứng hoặc triệu chứng nhẹ và chức năng phổi bình thường vẫn có thể bị đợt cấp nặng đe dọa đến tính mạng.",henphequan.txt
79,Hen suyễn thể ho,DiseaseSubtype,C0694548,,Là phân loại / thể bệnh của,Hen,Disease,C0004096,,Ho có thể là triệu chứng duy nhất ở một số bệnh nhân (hen suyễn thể ho).,henphequan.txt
80,Hen suyễn tăng bạch cầu ái toan,DiseaseSubtype,C0340076,,Là phân loại / thể bệnh của,Hen,Disease,C0004096,,Hen suyễn với dạng viêm này thường được gọi làh hen suyễn tăng bạch cầu ái toan.,henphequan.txt
81,Hoạt động thể chất,Treatment,C0026606,,Điều trị,Hen,Disease,C0004096,,"Trẻ em> 5 tuổi và thanh thiếu niên bị hen suyễn nên được khuyến khích duy trì các hoạt động thể chất, tập thể dục và tham gia các môn thể thao.",henphequan.txt
82,Hoạt động thể chất và thể thao,Treatment,C1319354,,Điều trị,Hen,Disease,C0004096,,"Trẻ em> 5 tuổi và thanh thiếu niên bị hen suyễn nên được khuyến khích duy trì các hoạt động thể chất, tập thể dục và tham gia các môn thể thao.",henphequan.txt
83,Hút thuốc,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Chồng chéo Hen suyễn-COPD,Disease,C4038730,,"Các đặc điểm chính bao gồm tắc nghẽn đường thở cố định không đáp ứng với thuốc giãn phế quản, tiếp xúc đáng kể với hút thuốc lá hoặc chất ô nhiễm và các đặc điểm của hen suyễn truyền thống, bao gồm tăng bạch cầu ái toan trong máu hoặc trong đờm và tắc nghẽn dòng khí có thể đảo ngược.",henphequan.txt
84,Hút thuốc,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Giới nữ, hút thuốc, tuổi dậy thì sớm, nhạy cảm với bọ ve trong nhà là những yếu tố nguy cơ cho hen kéo dài và tái phát.",henphequan.txt
85,Hạn chế luồng khí,Sign,C0024117,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
86,Hợp chất hữu cơ dễ bay hơi,Cause,C2350439,,Là nguyên nhân gây ra,Hen kích ứng,Disease,Chưa có,,"Hen kích ứng đề cập đến một phản ứng tương tự, dai dẳng giống như hen sau khi tiếp xúc nhiều lần hoặc mạn tính với các chất kích thích tương tự.",henphequan.txt
87,IgE,Mechanism,C0020846,,Là một phần của cơ chế,Đáp ứng miễn dịch T2,Mechanism,Chưa có,,Đáp ứng T2 tiền viêm được đặc trưng bởi sự tăng trưởng và kích hoạt quá trình sản sinh bạch cầu ái toan và IgE.,henphequan.txt
88,Il-6 huyết thanh,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Hen,Disease,C0004096,,"Các chất trung gian chính liên quan đến các nghiên cứu quan sát và nghiên cứu cắt ngang bao gồm leptin, adipokine và Il-6 huyết thanh.",henphequan.txt
89,Khám lâm sàng,Test,C0031809,,Dùng để chẩn đoán,Hen,Disease,C0004096,,"Việc chẩn đoán được dựa trên tiền sử, khám lâm sàng và đo chức năng hô hấp.",henphequan.txt
90,Khí clo,Cause,C0008209,,Là nguyên nhân gây ra,Hen kích ứng,Disease,Chưa có,,"Hen kích ứng đề cập đến một phản ứng tương tự, dai dẳng giống như hen sau khi tiếp xúc nhiều lần hoặc mạn tính với các chất kích thích tương tự.",henphequan.txt
91,Khói thuốc lá,RiskFactor,C0439994,,Làm tăng nguy cơ mắc,Bệnh hen do tập luyện,Disease,C0004099,,"Các tác nhân không gây dị ứng, như khói thuốc lá, mùi mạnh, khói kích thích, nhiệt độ lạnh, độ ẩm cao, cũng nên tránh hoặc kiểm soát khi có thể.",henphequan.txt
92,Khói thuốc lá,RiskFactor,C0439994,,Làm tăng nguy cơ mắc,Hen,Disease,C0004096,,"Các chất gây kích ứng theo đường hô hấp, chẳng hạn như ô nhiễm không khí, khói thuốc lá, nước hoa và các sản phẩm làm sạch có thể làm khởi phát các triệu chứng hen.",henphequan.txt
93,Khói thuốc lá,RiskFactor,C0439994,,Làm tăng nguy cơ mắc,Hen do gắng sức,DiseaseSubtype,C0004099,,"Các tác nhân không gây dị ứng, như khói thuốc lá, mùi mạnh, khói kích thích, nhiệt độ lạnh, độ ẩm cao, cũng nên tránh hoặc kiểm soát khi có thể.",henphequan.txt
94,Kiểm soát các yếu tố khởi phát,Treatment,Chưa có,,Điều trị,Hen,Disease,C0004096,,Điều trị liên quan đến kiểm soát các yếu tố khởi phát và điều trị bằng thuốc,henphequan.txt
95,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Hen,Disease,C0004096,,Bệnh nhân nghi ngờ bị hen suyễn nên được kiểm tra chức năng hô hấp để chẩn đoán bệnh,henphequan.txt
96,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Hạn chế luồng khí,Sign,C0024117,,"Chẩn đoán dựa trên tiền sử, khám lâm sàng và được xác định bằng các kiểm tra chức năng hô hấp.",henphequan.txt
97,Kế hoạch hành động hen suyễn,Treatment,C3481636,,Điều trị,Hen,Disease,C0004096,,Kế hoạch như vậy dẫn đến việc kiểm soát bệnh hen suyễn tốt hơn,henphequan.txt
