id,name,normalized_name,entity_type,umls_cui,umls_sty,formatted_attributes,attributes,source_document,created_at
CUI:C4038730,Chồng chéo Hen suyễn-COPD (ACO),Chồng chéo Hen suyễn-COPD,Disease,C4038730,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:26.776Z
Disease:hen kích ứng,Hen kích ứng,Hen kích ứng,Disease,,,,{},henphequan.txt,2026-08-21T07:13:19.847Z
CUI:C1299633,RADS,RADS,Disease,C1299633,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:19.345Z
CUI:C2607914,Viêm mũi dị ứng,Viêm mũi dị ứng,Disease,C2607914,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:21.714Z
CUI:C0004031,bệnh do nấm aspergillus phế quản-phổi dị ứng,Bệnh do nấm aspergillus phế quản-phổi dị ứng,Disease,C0004031,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:27.202Z
CUI:C0004099,bệnh hen do tập luyện,Bệnh hen do tập luyện,Disease,C0004099,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:40.081Z
CUI:C0006267,giãn phế quản,Giãn phế quản,Disease,C0006267,Disease or Syndrome,,{},henphequan.txt,2026-08-21T03:24:25.278Z
CUI:C0155877,hen dị ứng,Hen dị ứng,Disease,C0155877,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:29.684Z
CUI:C0029456,loãng xương,Loãng xương,Disease,C0029456,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:38.277Z
CUI:C0520679,ngưng thở khi ngủ do tắc nghẽn,Ngưng thở khi ngủ do tắc nghẽn,Disease,C0520679,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:35.636Z
CUI:C0041912,nhiễm trùng đường hô hấp trên,Nhiễm trùng đường hô hấp trên,Disease,C0041912,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:21.028Z
CUI:C0859897,rối loạn chức năng dây thanh âm,Rối loạn chức năng dây thanh âm,Disease,C0859897,Finding,,{},henphequan.txt,2026-08-21T07:13:27.465Z
CUI:C0746984,rối loạn thông khí tắc nghẽn,Rối loạn thông khí tắc nghẽn,Disease,C0746984,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:37.985Z
CUI:C0035229,suy giảm chức năng hô hấp,Suy giảm chức năng hô hấp,Disease,C0035229,Pathologic Function,,{},henphequan.txt,2026-08-21T07:13:31.3Z
CUI:C0221757,thiếu hụtalpha-1 antitrypsin,Thiếu hụt alpha-1 antitrypsin,Disease,C0221757,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:27.335Z
CUI:C0020440,tăng carbon dioxide,Tăng carbon dioxide,Disease,C0020440,Finding,,{},henphequan.txt,2026-08-21T07:13:37.624Z
CUI:C0032285,viêm phổi,Viêm phổi,Disease,C0032285,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:21.092Z
CUI:C0010674,xơ nang,Xơ nang,Disease,C0010674,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:27.401Z
CUI:C0038454,đột quỵ,Đột quỵ,Disease,C0038454,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:28.545Z
CUI:C0004099,Hen do gắng sức,Hen do gắng sức,DiseaseSubtype,C0004099,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:32.318Z
CUI:C3494263,Mức độ nặng,Mức độ nặng của bệnh,DiseaseSubtype,C3494263,Clinical Attribute,,{},henphequan.txt,2026-08-21T07:13:22.985Z
CUI:C0439793,Mức độ nặng,Mức độ nặng,DiseaseSubtype,C0439793,Qualitative Concept,,{},henphequan.txt,2026-08-21T07:13:23.849Z
CUI:C1299882,Phì đại cơ trơn,Phì đại cơ trơn,DiseaseSubtype,C1299882,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:20.332Z
DiseaseSubtype:miễn dịch qua trung gian tế bào t1,T1,Miễn dịch qua trung gian tế bào T1,DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T07:13:26.521Z
DiseaseSubtype:viêm do dị ứng (t2),T2,Viêm do dị ứng (T2),DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T07:13:26.221Z
DiseaseSubtype:cơn co thắt phế quản lan tỏa,cơn co thắt phế quản lan tỏa,Cơn co thắt phế quản lan tỏa,DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T07:13:22.181Z
CUI:C5192201,cơn hen nguy kịch,Cơn hen nguy kịch,DiseaseSubtype,C5192201,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:35.438Z
CUI:C0347950,cơn hen phế quản,Cơn hen phế quản,DiseaseSubtype,C0347950,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:22.848Z
CUI:C5880014,hen không kiểm soát được,Hen không kiểm soát được,DiseaseSubtype,C5880014,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:37.789Z
CUI:C3853540,hen nhạy cảm aspirin,Hen nhạy cảm aspirin,DiseaseSubtype,C3853540,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:21.455Z
CUI:C3862402,hen nặng không được kiểm soát,Hen nặng không kiểm soát,DiseaseSubtype,C3862402,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:33.839Z
CUI:C1273489,hen suyễn ban đêm,Hen suyễn ban đêm,DiseaseSubtype,C1273489,Finding,,{},henphequan.txt,2026-08-21T07:13:25.077Z
CUI:C0581124,hen suyễn nhẹ,Hen suyễn nhẹ,DiseaseSubtype,C0581124,Finding,,{},henphequan.txt,2026-08-21T07:13:23.313Z
CUI:C0694548,hen suyễn thể ho,Hen suyễn thể ho,DiseaseSubtype,C0694548,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:25.011Z
CUI:C0340076,hen suyễn tăng bạch cầu ái toan,Hen suyễn tăng bạch cầu ái toan,DiseaseSubtype,C0340076,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:18.781Z
CUI:C0034067,khí phế thũng,Khí phế thũng,DiseaseSubtype,C0034067,Disease or Syndrome,,{},henphequan.txt,2026-08-21T03:24:18.238Z
CUI:C5890742,mức độ kiểm soát,Mức độ kiểm soát,DiseaseSubtype,C5890742,Finding,,{},henphequan.txt,2026-08-21T07:13:23.913Z
CUI:C0581126,mức độ nặng của bệnh,Mức độ nặng của bệnh hen,DiseaseSubtype,C0581126,Finding,,{},henphequan.txt,2026-08-21T07:13:21.374Z
DiseaseSubtype:rối loạn thông khí tắc nghẽn có hồi phục,rối loạn thông khí tắc nghẽn có hồi phục,Rối loạn thông khí tắc nghẽn có hồi phục,DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T07:13:28.159Z
DiseaseSubtype:suy giảm chức năng phổi,suy giảm chức năng phổi,Suy giảm chức năng phổi,DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T03:24:20.947Z
DiseaseSubtype:không ổn định đường thở,sự không ổn định đường thở,Không ổn định đường thở,DiseaseSubtype,,,,{},henphequan.txt,2026-08-21T07:13:40.376Z
CUI:C0340101,tắc nghẽn đường hô hấp trên,Tắc nghẽn đường hô hấp trên,DiseaseSubtype,C0340101,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:28.225Z
CUI:C3661951,tắc nghẽn đường thở không hồi phục hoàn toàn,Tắc nghẽn đường thở không hồi phục,DiseaseSubtype,C3661951,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:31.155Z
CUI:C0340066,đợt cấp,Đợt cấp hen suyễn,DiseaseSubtype,C0340066,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:33.023Z
CUI:C0340061,đợt cấp,Đợt cấp hen phế quản,DiseaseSubtype,C0340061,Disease or Syndrome,,{},henphequan.txt,2026-08-21T07:13:30.091Z
CUI:C0004057,Aspirin,Aspirin,Drug,C0004057,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:21.285Z
CUI:C0000970,acetaminophen,Acetaminophen,Drug,C0000970,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:32.677Z
CUI:C0001927,albuterol,Albuterol,Drug,C0001927,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.547Z
CUI:C0052796,azithromycin,Azithromycin,Drug,C0052796,Organic Chemical,,{},henphequan.txt,2026-08-21T07:13:27.073Z
CUI:C0012544,bisphosphonat,Bisphosphonat,Drug,C0012544,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:38.405Z
CUI:C0538927,celecoxib,Celecoxib,Drug,C0538927,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:32.808Z
CUI:C2930097,choline magnesium salicylate,Choline magnesium salicylate,Drug,C2930097,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:32.742Z
CUI:C3540702,corticosteroid hít,Corticosteroid hít,Drug,C3540702,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:31.027Z
CUI:C4053960,corticosteroid đường toàn thân,Corticosteroid đường toàn thân,Drug,C4053960,Therapeutic or Preventive Procedure,,{},henphequan.txt,2026-08-21T07:13:35.376Z
CUI:C0012694,cromolyn,Cromolyn,Drug,C0012694,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:36.512Z
CUI:C0060657,formoterol,Formoterol,Drug,C0060657,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.883Z
CUI:C0027235,ipratropium,Ipratropium,Drug,C0027235,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.626Z
CUI:C0910794,kháng thể kháng IgE,Kháng thể kháng IgE,Drug,C0910794,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:29.395Z
CUI:C0600370,metacholine,Metacholine,Drug,C0600370,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:28.354Z
CUI:C0068483,nedocromil,Nedocromil,Drug,C0068483,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:37.066Z
CUI:C0965618,roflimulast,Roflumilast,Drug,C0965618,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:26.99Z
CUI:C0073992,salmeterol,Salmeterol,Drug,C0073992,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.821Z
CUI:C0039771,theophylline,Theophylline,Drug,C0039771,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.691Z
CUI:C0213771,tiotropium,Tiotropium,Drug,C0213771,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:27.947Z
CUI:C0081408,zileuton,Zileuton,Drug,C0081408,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:36.643Z
CUI:C0003211,NSAID,NSAID,DrugClass,C0003211,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T06:17:20.157Z
CUI:C0578554,Thuốc giãn phế quản dạng hít,Thuốc giãn phế quản dạng hít,DrugClass,C0578554,Therapeutic or Preventive Procedure,,{},henphequan.txt,2026-08-21T07:13:35.25Z
CUI:C0282556,Thuốc trong nhóm này,Thuốc điều trị hen,DrugClass,C0282556,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:33.217Z
CUI:C1135768,Thuốc tác dụng kéo dài,Thuốc tác dụng kéo dài,DrugClass,C1135768,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:37.131Z
DrugClass:thuốc điều biến leukotriene,Thuốc điều biến leukotriene,Thuốc điều biến leukotriene,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:36.171Z
CUI:C0001617,corticosteroid,Corticosteroid,DrugClass,C0001617,Pharmacologic Substance,,{},henphequan.txt,2026-08-20T15:58:59.996Z
CUI:C4020618,corticosteroid dạng hít,Corticosteroid dạng hít,DrugClass,C4020618,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T03:24:29.037Z
DrugClass:thuốc chẹn beta không chọn lọc,thuốc chẹn beta không chọn lọc,Thuốc chẹn beta không chọn lọc,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:32.873Z
CUI:C0003209,thuốc chống viêm,Thuốc chống viêm,DrugClass,C0003209,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:31.235Z
CUI:C0001644,thuốc chủ vận beta,Thuốc chủ vận beta,DrugClass,C0001644,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:33.089Z
DrugClass:thuốc chủ vận beta tác dụng kéo dài,thuốc chủ vận beta tác dụng kéo dài,Thuốc chủ vận beta tác dụng kéo dài,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:33.902Z
CUI:C2936789,thuốc cường beta-2,Thuốc cường beta-2,DrugClass,C2936789,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:16.797Z
DrugClass:thuốc cường beta-2 tác dụng kéo dài,thuốc cường beta-2 tác dụng kéo dài,Thuốc cường beta-2 tác dụng kéo dài,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:27.758Z
DrugClass:thuốc cường beta-2 tác dụng ngắn,thuốc cường beta-2 tác dụng ngắn,Thuốc cường beta-2 tác dụng ngắn,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:24.43Z
CUI:C5237476,thuốc cắt cơn,Thuốc cắt cơn,DrugClass,C5237476,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:40.72Z
CUI:C0006280,thuốc giãn phế quản,Thuốc giãn phế quản,DrugClass,C0006280,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T03:24:18.742Z
DrugClass:thuốc giãn phế quản tác dụng dài,thuốc giãn phế quản tác dụng dài,Thuốc giãn phế quản tác dụng dài,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:38.701Z
DrugClass:thuốc giãn phế quản tác dụng ngắn,thuốc giãn phế quản tác dụng ngắn,Thuốc giãn phế quản tác dụng ngắn,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:32.381Z
CUI:C0242896,thuốc kháng cholinergic,Thuốc kháng cholinergic,DrugClass,C0242896,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:33.153Z
CUI:C5544470,thuốc điều hòa miễn dịch,Thuốc điều hòa miễn dịch,DrugClass,C5544470,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:30.458Z
DrugClass:thuốc đối kháng muscarinic tác dụng kéo dài,thuốc đối kháng muscarinic tác dụng kéo dài,Thuốc đối kháng muscarinic tác dụng kéo dài,DrugClass,,,,{},henphequan.txt,2026-08-21T07:13:36.579Z
CUI:C1268905,thuốc ổn định tế bào mast,Thuốc ổn định tế bào mast,DrugClass,C1268905,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:35.959Z
CUI:C0358591,thuốc ức chế bơm proton,Thuốc ức chế bơm proton,DrugClass,C0358591,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:21.583Z
CUI:C0595726,thuốc ức chế leukotriene,Thuốc ức chế leukotriene,DrugClass,C0595726,Pharmacologic Substance,,{},henphequan.txt,2026-08-21T07:13:36.44Z
CUI:C1272207,Bảng Các bước quản lý bệnh hen,Bảng Các bước quản lý bệnh hen,Guideline,C1272207,Therapeutic or Preventive Procedure,,{},henphequan.txt,2026-08-21T07:13:32.522Z
Guideline:hướng dẫn naepp 2004,"Chương trình Giáo dục và Phòng ngừa Hen Quốc gia, Kiểm soát bệnh hen suyễn trong thời kỳ mang thai: Khuyến cáo về Điều trị bằng Dược lý - Cập nhật năm 2004",Hướng dẫn NAEPP 2004,Guideline,,,,{},henphequan.txt,2026-08-21T07:13:37.406Z
Guideline:phân loại mức độ nghiêm trọng của bệnh hen suyễn,Phân loại mức độ nghiêm trọng của bệnh hen suyễn,Phân loại mức độ nghiêm trọng của bệnh hen suyễn,Guideline,,,,{},henphequan.txt,2026-08-21T07:13:23.049Z
Measurement:ngưỡng pef cảnh báo: < 80% số liệu tốt nhất,< 80% số liệu tốt nhất của bệnh nhân,Ngưỡng PEF cảnh báo: < 80% số liệu tốt nhất,Measurement,,,Thông số: Ngưỡng PEF cảnh báo; Giá trị: <80 %,"{""parameter"": ""Ngưỡng PEF cảnh báo"", ""value"": 80, ""unit"": ""%"", ""operator"": ""<""}",henphequan.txt,2026-08-21T07:13:34.507Z
Measurement:ngưỡng biến thiên pef trong ngày: > 20%,> 20%,Ngưỡng biến thiên PEF trong ngày: > 20%,Measurement,,,Thông số: Biến thiên PEF trong ngày; Giá trị: >20 %,"{""parameter"": ""Biến thiên PEF trong ngày"", ""value"": 20, ""unit"": ""%"", ""operator"": "">""}",henphequan.txt,2026-08-21T07:13:34.85Z
Measurement:tần suất đợt cấp: > 3 đợt/năm,> 3 đợt cấp/năm,Tần suất đợt cấp: > 3 đợt/năm,Measurement,,,Thông số: Tần suất đợt cấp; Giá trị: >3 đợt/năm,"{""parameter"": ""Tần suất đợt cấp"", ""value"": 3, ""unit"": ""đợt/năm"", ""operator"": "">""}",henphequan.txt,2026-08-21T07:13:34.178Z
Measurement:chống chỉ định fev1 < 1 l hoặc < 50% dự đoán,FEV1 < 1 L hoặc < 50% dự đoán,Chống chỉ định FEV1 < 1 L hoặc < 50% dự đoán,Measurement,,,Thông số: FEV1; Giá trị: <1 L hoặc 50%,"{""parameter"": ""FEV1"", ""operator"": ""<"", ""value"": ""1 L hoặc 50%""}",henphequan.txt,2026-08-21T07:13:39.596Z
Measurement:chống chỉ định nghiệm pháp kích thích: fev1 < 1 l hoặc < 50% dự đoán,FEV1 < 1 L hoặc < 50% dự đoán,Chống chỉ định nghiệm pháp kích thích: FEV1 < 1 L hoặc < 50% dự đoán,Measurement,,,Thông số: FEV1; Giá trị: <1 L hoặc 50% dự đoán,"{""parameter"": ""FEV1"", ""operator"": ""<"", ""value"": ""1 L hoặc 50% dự đoán""}",henphequan.txt,2026-08-21T07:13:28.416Z
Measurement:fev1 < 50% dự đoán,FEV1 < 50% dự đoán,FEV1 < 50% dự đoán,Measurement,,,Thông số: FEV1; Giá trị: <50 % dự đoán,"{""parameter"": ""FEV1"", ""value"": 50, ""unit"": ""% dự đoán"", ""operator"": ""<""}",henphequan.txt,2026-08-21T07:13:34.24Z
Measurement:cải thiện fev1 > 12% hoặc >= 10% fev1 dự đoán,FEV1 > 12% hoặc tăng >= 10% so với FEV1 dự đoán,Cải thiện FEV1 > 12% hoặc >= 10% FEV1 dự đoán,Measurement,,,Thông số: Cải thiện FEV1,"{""parameter"": ""Cải thiện FEV1"", ""operator"": ""> 12% hoặc >= 10%"", ""unit"": ""%""}",henphequan.txt,2026-08-21T07:13:39.528Z
Measurement:cải thiện fev1 sau thuốc giãn phế quản > 12% hoặc >= 10% dự đoán,FEV1 > 12% hoặc tăng >= 10% so với FEV1 dự đoán,Cải thiện FEV1 sau thuốc giãn phế quản > 12% hoặc >= 10% dự đoán,Measurement,,,Thông số: Cải thiện FEV1 sau thuốc giãn phế quản,"{""parameter"": ""Cải thiện FEV1 sau thuốc giãn phế quản"", ""operator"": ""> 12% hoặc >= 10%"", ""unit"": ""%""}",henphequan.txt,2026-08-21T07:13:28.075Z
Measurement:fev1 >= 50% dự đoán,FEV1 >= 50% dự đoán,FEV1 >= 50% dự đoán,Measurement,,,Thông số: FEV1; Giá trị: >=50 % dự đoán,"{""parameter"": ""FEV1"", ""operator"": "">="", ""value"": 50, ""unit"": ""% dự đoán""}",henphequan.txt,2026-08-21T07:13:33.964Z
Measurement:giảm pef 15 - 20% so với đường cơ sở,Giảm 15 đến 20% so với đường cơ sở,Giảm PEF 15 - 20% so với đường cơ sở,Measurement,,,Thông số: Giảm PEF so với đường cơ sở; min_value: 15; max_value: 20,"{""parameter"": ""Giảm PEF so với đường cơ sở"", ""min_value"": 15, ""max_value"": 20, ""unit"": ""%"", ""operator"": ""range""}",henphequan.txt,2026-08-21T07:13:30.306Z
"Measurement:chống chỉ định tăng huyết áp nặng ha tâm thu > 200 mmhg, ha tâm trương > 100 mmhg",HA tâm thu > 200 mm Hg; HA tâm trương > 100 mm Hg,"Chống chỉ định tăng huyết áp nặng HA tâm thu > 200 mmHg, HA tâm trương > 100 mmHg",Measurement,,,Thông số: Huyết áp; Huyết áp 200/100,"{""parameter"": ""Huyết áp"", ""systolic"": 200, ""diastolic"": 100, ""operator"": "">""}",henphequan.txt,2026-08-21T07:13:39.661Z
"Measurement:ngưỡng tăng huyết áp nặng: ha tâm thu > 200 mmhg, ha tâm trương > 100 mmhg",HA tâm thu > 200 mm Hg; HA tâm trương > 100 mm Hg,"Ngưỡng tăng huyết áp nặng: HA tâm thu > 200 mmHg, HA tâm trương > 100 mmHg",Measurement,,,Thông số: Huyết áp; Huyết áp 200/100,"{""parameter"": ""Huyết áp"", ""systolic"": 200, ""diastolic"": 100, ""operator"": "">""}",henphequan.txt,2026-08-21T07:13:28.675Z
CUI:C2733224,Kiểm soát,Kiểm soát hen,Measurement,C2733224,Clinical Attribute,Thông số: Mức độ triệu chứng và nguy cơ,"{""parameter"": ""Mức độ triệu chứng và nguy cơ""}",henphequan.txt,2026-08-21T07:13:23.55Z
Measurement:mức feno < 25 ppb,Mức < 25 ppb,Mức FeNO < 25 ppb,Measurement,,,Thông số: FeNO; Giá trị: <25 ppb,"{""parameter"": ""FeNO"", ""value"": 25, ""unit"": ""ppb"", ""operator"": ""<""}",henphequan.txt,2026-08-21T07:13:29.891Z
Measurement:mức feno > 50 ppb,Mức FeNO > 50 ppb,Mức FeNO > 50 ppb,Measurement,,,Thông số: FeNO; Giá trị: >50 ppb,"{""parameter"": ""FeNO"", ""value"": 50, ""unit"": ""ppb"", ""operator"": "">""}",henphequan.txt,2026-08-21T07:13:29.828Z
CUI:C3476109,Mức độ thường xuyên mà bệnh nhân sử dụng,Tần suất sử dụng thuốc,Measurement,C3476109,Temporal Concept,Thông số: Tần suất sử dụng thuốc,"{""parameter"": ""Tần suất sử dụng thuốc""}",henphequan.txt,2026-08-21T07:13:24.666Z
Measurement:mức feno 25 - 50 ppb,Mức độ từ 25 đến 50 ppb,Mức FeNO 25 - 50 ppb,Measurement,,,Thông số: FeNO; min_value: 25; max_value: 50,"{""parameter"": ""FeNO"", ""min_value"": 25, ""max_value"": 50, ""unit"": ""ppb""}",henphequan.txt,2026-08-21T07:13:29.955Z
Measurement:pco2 máu bình thường trong thai kỳ: 32 mmhg,PCO2 trong máu bình thường ở mức khoảng 32 mmHg,PCO2 máu bình thường trong thai kỳ: 32 mmHg,Measurement,,,Thông số: PCO2 máu; Giá trị: 32 mmHg,"{""parameter"": ""PCO2 máu"", ""value"": 32, ""unit"": ""mmHg""}",henphequan.txt,2026-08-21T07:13:37.494Z
Measurement:ngưỡng tăng carbon dioxide: 40 mmhg,PCO2 đạt tới 40 mmHg,Ngưỡng tăng carbon dioxide: 40 mmHg,Measurement,,,Thông số: PCO2 máu; Giá trị: 40 mmHg,"{""parameter"": ""PCO2 máu"", ""value"": 40, ""unit"": ""mmHg""}",henphequan.txt,2026-08-21T07:13:37.559Z
Measurement:tăng carbon dioxide (pco2) >= 40 mmhg,PCO2 đạt tới 40 mmHg,Tăng carbon dioxide (PCO2) >= 40 mmHg,Measurement,,,Thông số: PCO2 máu; Giá trị: >=40 mmHg,"{""parameter"": ""PCO2 máu"", ""value"": 40, ""unit"": ""mmHg"", ""operator"": "">=""}",henphequan.txt,2026-08-21T07:13:40.848Z
