STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
11,CT sọ não,Test,C0202691,,Dùng để chẩn đoán,Xuất huyết não,DiseaseSubtype,C2937358,,Bệnh nhân có các triệu chứng thần kinh cần chụp CT sọ để chẩn đoán xuất huyết não,02_thuocdieutri.txt
12,Chlorthalidone,Drug,C0008294,,Điều trị,Bệnh thận mạn tính giai đoạn 4,DiseaseSubtype,C2317473,,chlorthalidone đã được chứng minh là có hiệu quả trong việc cải thiện huyết áp trên bệnh nhân có mức lọc cầu thận < 30 mL/phút.,02_thuocdieutri.txt
13,Chế độ ăn ít chất béo,Treatment,C0242970,,Điều trị,Rối loạn lipid máu,Disease,C0242339,,Lipid máu tăng rõ trong vòng 4 tuần điều trị và có thể được cải thiện bởi một chế độ ăn ít chất béo.,02_thuocdieutri.txt
14,Chỉ số huyết áp,Measurement,C0005824,Thông số: Huyết áp,Dùng để chẩn đoán,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
15,Chụp CT đầu,Test,Chưa có,,Dùng để đánh giá biến chứng thần kinh trong,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
16,Clevidipine,Drug,C0766108,,Điều trị,Tăng huyết áp chu phẫu,DiseaseSubtype,C3661921,,Nó đã được chứng minh là có hiệu quả và an toàn trong việc kiểm soát tăng huyết áp chu phẫu,02_thuocdieutri.txt
17,Clevidipine,Drug,C0766108,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
18,Di truyền,RiskFactor,C0017398,,Làm tăng nguy cơ mắc,Bệnh gout,Disease,C0018099,,Yếu tố di truyền có thể giải thích cho một vài trường hợp bị bệnh gout,02_thuocdieutri.txt
19,ECG,Test,C1623258,,Giúp phát hiện,Thiếu máu cục bộ cấp tính,Complication,C0746731,,Những bất thường trên ECG gợi ý tổn thương cơ quan đích cấp tính bao gồm các thay đổi do thiếu máu cục bộ cấp tính.,02_thuocdieutri.txt
20,ECG,Test,C1623258,,Dùng để đánh giá tổn thương cơ quan đích trong,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Đo ECG và phân tích nước tiểu, đo điện giải trong huyết thanh và creatinine, và đối với những bệnh nhân có triệu chứng hoặc dấu hiệu thần kinh, hãy chụp CT đầu.",02_thuocdieutri.txt
21,Fenoldopam,Drug,C0060180,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
22,GFR ước tính < 60 mL/phút,Measurement,Chưa có,Thông số: GFR ước tính; Giá trị: <60 mL/phút,Xác định ngưỡng chẩn đoán cho,Bệnh thận,Disease,C0022658,,bệnh thận (GFR ước tính < 60 mL/phút),02_thuocdieutri.txt
23,GFR: 30 - 60 mL/phút,Measurement,Chưa có,Thông số: GFR; min_value: 30; max_value: 60,Xác định ngưỡng chẩn đoán cho,Bệnh thận giai đoạn 3,DiseaseSubtype,C2316787,,Bệnh nhân mắc bệnh thận giai đoạn 3 (mức lọc cầu thận ước tính [GFR] < 60 mL/phút đến > 30 mL/phút),02_thuocdieutri.txt
24,Huyết áp chẩn đoán Tăng huyết áp cấp cứu: tâm thu > 180 mmHg hoặc tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp chẩn đoán Tăng huyết áp cấp cứu; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Tăng huyết áp cấp cứu là huyết áp tăng cao đáng kể (ví dụ: huyết áp tâm thu > 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
25,Huyết áp tâm thu > 180 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu; Giá trị: >180 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp nặng,DiseaseSubtype,C5395247,,Tăng huyết áp nặng (ví dụ: huyết áp tâm thu > 180 mm Hg),02_thuocdieutri.txt
26,Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu và tâm trương; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
27,Hút thuốc lá,RiskFactor,C0453996,,Có liên quan đến,Phù mạch,Complication,C0002994,,Phù mạch phổ biến nhất ở những bệnh nhân có nguồn gốc châu Phi và những người hút thuốc.,02_thuocdieutri.txt
28,Hội chứng chuyển hóa,Disease,C0524620,,Làm tăng nguy cơ mắc,Đái tháo đường loại 2,Disease,C0011860,,thuốc lợi tiểu thúc đẩy hoặc làm trầm trọng thêm bệnh tiểu đường loại 2 ở bệnh nhân có hội chứng chuyển hóa.,02_thuocdieutri.txt
29,Labetalol,Drug,C0022860,,Chống chỉ định cho,Hen suyễn,Disease,C0004096,,không nên sử dụng labetalol trong trường hợp tăng huyết áp cấp cứu ở bệnh nhân hen suyễn.,02_thuocdieutri.txt
30,Labetalol,Drug,C0022860,,Điều trị,Nhồi máu cơ tim,Disease,C0027051,,Labetalol được dùng cho phụ nữ có thai có những rối loạn nội sọ đòi hỏi kiểm soát huyết áp và sau nhồi máu cơ tim.,02_thuocdieutri.txt
31,Labetalol,Drug,C0022860,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
32,Liệu pháp phối hợp 2 thuốc chống tăng huyết áp,Treatment,Chưa có,,Điều trị,Tăng huyết áp nặng,DiseaseSubtype,C5395247,,liệu pháp phối hợp 2 thuốc chống tăng huyết áp đường uống (đối với tăng huyết áp nặng),02_thuocdieutri.txt
33,Lo lắng,Cause,C0003467,,Là nguyên nhân gây ra,Tăng huyết áp khẩn cấp,DiseaseSubtype,C0745138,,Lo lắng cho đến nay là nguyên nhân phổ biến nhất của tình trạng tăng huyết áp khẩn cấp.,02_thuocdieutri.txt
34,Nicardipine,Drug,C0028005,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
35,Nicardipine,Drug,C0028005,,Điều trị,Tăng huyết áp sau phẫu thuật,DiseaseSubtype,C0919726,,Nicardipine thường được sử dụng cho cao huyết áp sau mổ và trong thai kỳ.,02_thuocdieutri.txt
36,Nitroglycerin,Drug,C0017887,,Điều trị,Nhồi máu cơ tim cấp,Disease,C0155626,,"Nó có thể được sử dụng để kiểm soát tăng huyết áp trong và sau phẫu thuật bắc cầu động mạch vành, nhồi máu cơ tim cấp, đau thắt ngực không ổn định và phù phổi cấp.",02_thuocdieutri.txt
37,Nitroglycerin,Drug,C0017887,,Điều trị,Nhồi máu cơ tim cấp tính,Complication,C0155626,,"Nó có thể được sử dụng để kiểm soát tăng huyết áp trong và sau phẫu thuật bắc cầu động mạch vành, nhồi máu cơ tim cấp, đau thắt ngực không ổn định và phù phổi cấp.",02_thuocdieutri.txt
38,Nitroglycerin,Drug,C0017887,,Điều trị,Phù phổi cấp,Disease,C0155919,,"Nó có thể được sử dụng để kiểm soát tăng huyết áp trong và sau phẫu thuật bắc cầu động mạch vành, nhồi máu cơ tim cấp, đau thắt ngực không ổn định và phù phổi cấp.",02_thuocdieutri.txt
39,Nitroglycerin,Drug,C0017887,,Điều trị,Tăng huyết áp,Disease,C0020538,,"Nó có thể được sử dụng để kiểm soát tăng huyết áp trong và sau phẫu thuật bắc cầu động mạch vành, nhồi máu cơ tim cấp, đau thắt ngực không ổn định và phù phổi cấp.",02_thuocdieutri.txt
40,Nitroglycerin,Drug,C0017887,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Giảm huyết áp động mạch trung bình khoảng 20 đến 25% trong giờ đầu tiên bằng cách sử dụng thuốc theo đường tĩnh mạch có thể chuẩn độ, tác dụng ngắn như clevidipine, nitroglycerin, fenoldopam, nicardipine hoặc labetalol.",02_thuocdieutri.txt
41,Nitroglycerin,Drug,C0017887,,Điều trị,Đau thắt ngực không ổn định,Disease,C0002965,,"Nó có thể được sử dụng để kiểm soát tăng huyết áp trong và sau phẫu thuật bắc cầu động mạch vành, nhồi máu cơ tim cấp, đau thắt ngực không ổn định và phù phổi cấp.",02_thuocdieutri.txt
42,Nitroprusside,Drug,C0028193,,Điều trị,Bóc tách động mạch chủ,Disease,C0340643,,"Nitroprusside cũng được sử dụng cho bệnh não do tăng huyết áp, và với thuốc chẹn beta, cho bệnh nhân tách thành động mạch chủ.",02_thuocdieutri.txt
43,Nitroprusside,Drug,C0028193,,Điều trị,Bệnh não do tăng huyết áp,Disease,C0151620,,Nitroprusside cũng được sử dụng cho bệnh não do tăng huyết áp,02_thuocdieutri.txt
44,Nitroprusside,Drug,C0028193,,Điều trị,Bệnh não tăng huyết áp,Complication,C0151620,,Nitroprusside cũng được sử dụng cho bệnh não do tăng huyết áp,02_thuocdieutri.txt
45,Nitroprusside,Drug,C0028193,,Điều trị,Suy tim mất bù cấp tính,Disease,Chưa có,,Thuốc này chủ yếu được sử dụng cho những bệnh nhân bị suy tim mất bù cấp tính và tăng huyết áp.,02_thuocdieutri.txt
46,Nitroprusside,Drug,C0028193,,Điều trị,Tăng huyết áp,Disease,C0020538,,Thuốc này chủ yếu được sử dụng cho những bệnh nhân bị suy tim mất bù cấp tính và tăng huyết áp.,02_thuocdieutri.txt
47,Nitroprusside,Drug,C0028193,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Các loại thuốc điều trị bước đầu thông thường bao gồm nitroprusside, fenoldopam, nicardipine và labetalol .",02_thuocdieutri.txt
48,Phân tích nước tiểu,Test,C0042014,,Dùng để chẩn đoán,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
49,Soi đáy mắt,Test,Chưa có,,Dùng để chẩn đoán,Bệnh võng mạc tăng huyết áp độ 1-2,DiseaseSubtype,Chưa có,,"Khám thực thể tập trung vào các cơ quan đích, bao gồm khám thần kinh, soi đáy mắt và khám tim mạch.",02_thuocdieutri.txt
50,Thuốc chẹn alpha-1 sau synap,DrugClass,Chưa có,,Điều trị,phì đại tuyến tiền liệt,Disease,C1704272,,"Tuy nhiên, thuốc chẹn alpha-1 sau synap có thể được sử dụng ở những bệnh nhân bị phì đại tuyến tiền liệt",02_thuocdieutri.txt
51,Thuốc chẹn beta,DrugClass,C0001645,,Chống chỉ định cho,Hen suyễn,Disease,C0004096,,Thuốc chẹn beta thường nên tránh dùng ở những bệnh nhân bị hen suyễn,02_thuocdieutri.txt
52,Thuốc chẹn beta,DrugClass,C0001645,,Điều trị,Bóc tách động mạch chủ,Disease,C0340643,,"với thuốc chẹn beta, cho bệnh nhân tách thành động mạch chủ.",02_thuocdieutri.txt
53,Thuốc chẹn beta,DrugClass,C0001645,,Điều trị,Nhồi máu cơ tim,Disease,C0027051,,"Tuy nhiên, các loại thuốc này có thể hữu ích ở những bệnh nhân tăng huyết áp có các rối loạn khác có thể được hưởng lợi từ thuốc chẹn beta, chẳng hạn như đau thắt ngực, nhồi máu cơ tim trước đó hoặc suy tim.",02_thuocdieutri.txt
54,Thuốc chẹn beta,DrugClass,C0001645,,Điều trị,Suy tim,Complication,C0018801,,"Tuy nhiên, các loại thuốc này có thể hữu ích ở những bệnh nhân tăng huyết áp có các rối loạn khác có thể được hưởng lợi từ thuốc chẹn beta, chẳng hạn như đau thắt ngực, nhồi máu cơ tim trước đó hoặc suy tim.",02_thuocdieutri.txt
55,Thuốc chẹn beta,DrugClass,C0001645,,Điều trị,Tăng huyết áp,Disease,C0020538,,Thuốc chẹn beta không phải là thuốc bước đầu trong điều trị tăng huyết áp.,02_thuocdieutri.txt
56,Thuốc chẹn beta,DrugClass,C0001645,,Điều trị,Đau thắt ngực,Disease,C0002963,,"các loại thuốc này có thể hữu ích ở những bệnh nhân tăng huyết áp có các rối loạn khác có thể được hưởng lợi từ thuốc chẹn beta, chẳng hạn như đau thắt ngực",02_thuocdieutri.txt
57,Thuốc chẹn kênh canxi,DrugClass,C0006684,,Ưu tiên chỉ định cho,Hội chứng Raynaud,Disease,C0034734,,"Thuốc chẹn kênh canxi được ưu tiên sử dụng hơn thuốc chẹn beta ở những bệnh nhân bị đau thắt ngực cũng có bệnh co thắt phế quản, co thắt động mạch vành hoặc hội chứng Raynaud.",02_thuocdieutri.txt
58,Thuốc chẹn kênh canxi,DrugClass,C0006684,,Điều trị,Đau thắt ngực,Disease,C0002963,,Thuốc chẹn kênh canxi được ưu tiên sử dụng hơn thuốc chẹn beta ở những bệnh nhân bị đau thắt ngực,02_thuocdieutri.txt
59,Thuốc chẹn thụ thể angiotensin (ARB),DrugClass,C0521942,,Điều trị,Bệnh thận do đái tháo đường loại 1,DiseaseSubtype,C0836995,,Hai loại thuốc này có tác dụng tương đương ở bệnh nhân bị suy thất trái hoặc bệnh thận do đái tháo đường loại 1.,02_thuocdieutri.txt
60,Thuốc chẹn thụ thể angiotensin (ARB),DrugClass,C0521942,,Điều trị,Suy thất trái,DiseaseSubtype,C0023212,,Hai loại thuốc này có tác dụng tương đương ở bệnh nhân bị suy thất trái,02_thuocdieutri.txt
61,Thuốc giảm lo âu,Drug,C0040616,,Hỗ trợ giảm nguy cơ,Tăng huyết áp khẩn cấp,DiseaseSubtype,C0745138,,Điều trị lo âu bằng cách tư vấn và/hoặc sử dụng thuốc giảm lo âu thường hữu ích trong việc giảm huyết áp và do đó làm giảm tỷ lệ tăng huyết áp khẩn cấp.,02_thuocdieutri.txt
62,Thuốc hạ huyết áp đường tĩnh mạch,Drug,Chưa có,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Điều trị là giảm huyết áp ngay lập tức bằng thuốc hạ huyết áp theo đường tĩnh mạch.,02_thuocdieutri.txt
63,Thuốc lợi tiểu giữ kali,DrugClass,C0304490,,Điều trị,Tăng huyết áp,Disease,C0020538,,Thuốc lợi tiểu giữ kali không hiệu quả bằng thuốc lợi tiểu loại thiazid trong việc kiểm soát tăng huyết áp,02_thuocdieutri.txt
64,Thuốc lợi tiểu quai,DrugClass,C0354100,,Điều trị,Tăng huyết áp,Disease,C0020538,,Thuốc lợi tiểu quai chỉ được sử dụng để điều trị tăng huyết áp ở những bệnh nhân có GFR ước tính < 30 mL/phút,02_thuocdieutri.txt
65,Thuốc tiêm truyền,DrugClass,C4040199,,Điều trị,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Để biết về điều trị các trường hợp tăng huyết áp cấp cứu, xem bảng Thuốc tiêm truyền trong trường hợp tăng huyết áp cấp cứu.",02_thuocdieutri.txt
66,Thuốc ức chế men chuyển (ACE),DrugClass,C0003015,,Chống chỉ định cho,Phụ nữ có thai,PatientGroup,C0033011,,ACEI chống chỉ định với phụ nữ có thai.,02_thuocdieutri.txt
67,Thuốc ức chế men chuyển (ACE),DrugClass,C0003015,,Điều trị bảo vệ thận cho,Đái tháo đường,Disease,C0011849,,Vì những loại thuốc này có tác dụng bảo vệ thận nên các thuốc này (cùng với thuốc chẹn thụ thể angiotensin II) là loại thuốc được lựa chọn cho bệnh nhân tiểu đường.,02_thuocdieutri.txt
68,Thất bại tự điều hòa lưu lượng máu não,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Bệnh não do tăng huyết áp,Disease,C0151620,,Bệnh não do tăng huyết áp có thể liên quan đến tình trạng thất bại trong quá trình tự điều hòa lưu lượng máu ở não.,02_thuocdieutri.txt
69,Thất bại tự điều hòa lưu lượng máu não,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Bệnh não tăng huyết áp,Complication,C0151620,,Bệnh não do tăng huyết áp có thể liên quan đến tình trạng thất bại trong quá trình tự điều hòa lưu lượng máu ở não.,02_thuocdieutri.txt
70,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Là phân loại / thể bệnh của,Tăng huyết áp,Disease,C0020538,,(Xem thêm Tăng huyết áp và các trường hợp tăng huyết áp cấp cứu.),02_thuocdieutri.txt
71,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Bóc tách động mạch chủ cấp,Complication,Chưa có,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
72,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Bệnh não do tăng huyết áp,Disease,C0151620,,Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp,02_thuocdieutri.txt
73,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Bệnh não tăng huyết áp,Complication,C0151620,,Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp,02_thuocdieutri.txt
74,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Suy thất trái cấp tính,Complication,C1306063,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
75,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Suy thất trái cấp tính có phù phổi,Complication,Chưa có,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
76,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Suy thận,Complication,C1565489,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
77,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Thiếu máu cơ tim,Complication,C0151744,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
78,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Biểu hiện bằng,Tiền sản giật và sản giật,Complication,C5574918,,"Tổn thương cơ quan đích bao gồm bệnh não do tăng huyết áp, tiền sản giật và sản giật, suy thất tâm thất trái cấp tính có phù phổi, thiếu máu cơ tim, tách thành động mạch chủ cấp và suy thận.",02_thuocdieutri.txt
79,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Dẫn đến biến chứng,Tổn thương cơ quan đích,Complication,C3887506,,"(Tăng huyết áp cấp tính nặng) Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg) có dấu hiệu tổn thương các cơ quan đích (chủ yếu là não, hệ tim mạch và thận).",02_thuocdieutri.txt
80,Tổn thương cơ quan đích,Complication,C3887506,,Ảnh hưởng đến,Hệ tim mạch,Organ,C0007226,,"tổn thương các cơ quan đích (chủ yếu là não, hệ tim mạch và thận)",02_thuocdieutri.txt
81,Tổn thương cơ quan đích,Complication,C3887506,,Ảnh hưởng đến,Não,Organ,C0006104,,"tổn thương các cơ quan đích (chủ yếu là não, hệ tim mạch và thận)",02_thuocdieutri.txt
82,Tổn thương cơ quan đích,Complication,C3887506,,Ảnh hưởng đến,Thận,Organ,C0022646,,"tổn thương các cơ quan đích (chủ yếu là não, hệ tim mạch và thận)",02_thuocdieutri.txt
83,Xét nghiệm creatinine huyết thanh,Test,C3694999,,Dùng để đánh giá tổn thương cơ quan đích trong,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
84,Xét nghiệm kali và creatinine huyết thanh,Test,Chưa có,,Dùng để chẩn đoán,Rối loạn chức năng thận,Disease,C3279454,,"Ở những bệnh nhân có rối loạn chức năng thận, kali và creatinine huyết thanh được theo dõi ít nhất mỗi 3 tháng.",02_thuocdieutri.txt
85,thụ thể alpha-2-adrenergic,Mechanism,C0001639,,Là một phần của cơ chế,hoạt động thần kinh giao cảm,Mechanism,Chưa có,,kích thích thụ thể alpha-2-adrenergic ở thân não và làm giảm hoạt động thần kinh giao cảm,02_thuocdieutri.txt
86,Đo huyết áp,Test,C0005824,,Dùng để chẩn đoán,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
87,Đo điện giải,Test,C0201992,,Dùng để đánh giá biến chứng/nguyên nhân trong,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,"Chẩn đoán bằng cách đo huyết áp, ECG, phân tích nước tiểu, đo điện giải và creatinine trong huyết thanh.",02_thuocdieutri.txt
